SAMPLE	BIN	TARGET	PYRAMIDLVL	TPRESENT	RESPONSEFUNC	NUM_RESPONSE	L	C	S	TRESP	RESPONSEFUNC_NAME
1	1	1	1	1	1	1	1	5	5	0.030513	occluding_model.lib.response_functions.separableTR
1	1	1	1	1	1	2	1	5	5	-0.000294	occluding_model.lib.response_functions.separableTR
1	1	1	1	1	2	1	1	5	5	0.666040	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	1	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	1	2	1	1	1	5	5	0.174218	occluding_model.lib.response_functions.separableTR
1	1	1	1	2	1	2	1	5	5	0.132746	occluding_model.lib.response_functions.separableTR
1	1	1	1	2	2	1	1	5	5	0.993318	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	1	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	2	1	1	1	1	5	5	0.030386	occluding_model.lib.response_functions.separableTR
1	1	1	2	1	1	2	1	5	5	-0.000360	occluding_model.lib.response_functions.separableTR
1	1	1	2	1	2	1	1	5	5	0.676627	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	2	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	2	2	1	1	1	5	5	0.168259	occluding_model.lib.response_functions.separableTR
1	1	1	2	2	1	2	1	5	5	0.144517	occluding_model.lib.response_functions.separableTR
1	1	1	2	2	2	1	1	5	5	0.993784	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	2	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	3	1	1	1	1	5	5	0.030392	occluding_model.lib.response_functions.separableTR
1	1	1	3	1	1	2	1	5	5	-0.000543	occluding_model.lib.response_functions.separableTR
1	1	1	3	1	2	1	1	5	5	0.740114	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	3	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	3	2	1	1	1	5	5	0.158173	occluding_model.lib.response_functions.separableTR
1	1	1	3	2	1	2	1	5	5	0.154185	occluding_model.lib.response_functions.separableTR
1	1	1	3	2	2	1	1	5	5	0.993711	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	3	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	4	1	1	1	1	5	5	0.030277	occluding_model.lib.response_functions.separableTR
1	1	1	4	1	1	2	1	5	5	-0.002835	occluding_model.lib.response_functions.separableTR
1	1	1	4	1	2	1	1	5	5	0.737176	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	4	1	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	4	2	1	1	1	5	5	0.133972	occluding_model.lib.response_functions.separableTR
1	1	1	4	2	1	2	1	5	5	0.105112	occluding_model.lib.response_functions.separableTR
1	1	1	4	2	2	1	1	5	5	0.987749	occluding_model.lib.response_functions.edgeResponseMag
1	1	1	4	2	2	2	1	5	5	-1.000000	occluding_model.lib.response_functions.edgeResponseMag
