tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity
NaN	1	1	1	1	1	Eabs	sigma	0
NaN	1	1	2	1	1	Eabs	sigma	0
NaN	1	1	3	1	1	Eabs	sigma	0
NaN	1	1	4	1	1	Eabs	sigma	0
NaN	1	1	5	1	1	Eabs	sigma	0
NaN	1	1	6	1	1	Eabs	sigma	0
NaN	1	1	7	1	1	Eabs	sigma	0
NaN	1	1	8	1	1	Eabs	sigma	0
NaN	1	1	9	1	1	Eabs	sigma	0
NaN	1	1	10	1	1	Eabs	sigma	0
NaN	1	2	1	1	1	Eabs	sigma	0
NaN	1	2	2	1	1	Eabs	sigma	0
NaN	1	2	3	1	1	Eabs	sigma	0
NaN	1	2	4	1	1	Eabs	sigma	0
NaN	1	2	5	1	1	Eabs	sigma	0
NaN	1	2	6	1	1	Eabs	sigma	0
NaN	1	2	7	1	1	Eabs	sigma	0
NaN	1	2	8	1	1	Eabs	sigma	0
NaN	1	2	9	1	1	Eabs	sigma	0
NaN	1	2	10	1	1	Eabs	sigma	0
NaN	1	3	1	1	1	Eabs	sigma	0
124.603672	1	3	2	1	1	Eabs	sigma	0
142.046141	1	3	3	1	1	Eabs	sigma	0
145.091590	1	3	4	1	1	Eabs	sigma	0
126.366624	1	3	5	1	1	Eabs	sigma	0
145.467691	1	3	6	1	1	Eabs	sigma	0
113.303499	1	3	7	1	1	Eabs	sigma	0
122.890573	1	3	8	1	1	Eabs	sigma	0
110.724744	1	3	9	1	1	Eabs	sigma	0
85.461001	1	3	10	1	1	Eabs	sigma	0
172.417489	1	4	1	1	1	Eabs	sigma	0
185.958932	1	4	2	1	1	Eabs	sigma	0
204.794140	1	4	3	1	1	Eabs	sigma	0
207.575818	1	4	4	1	1	Eabs	sigma	0
206.217734	1	4	5	1	1	Eabs	sigma	0
206.482570	1	4	6	1	1	Eabs	sigma	0
206.831378	1	4	7	1	1	Eabs	sigma	0
177.105378	1	4	8	1	1	Eabs	sigma	0
178.542894	1	4	9	1	1	Eabs	sigma	0
144.866796	1	4	10	1	1	Eabs	sigma	0
286.567875	1	5	1	1	1	Eabs	sigma	0
252.582629	1	5	2	1	1	Eabs	sigma	0
263.582361	1	5	3	1	1	Eabs	sigma	0
258.213650	1	5	4	1	1	Eabs	sigma	0
261.781510	1	5	5	1	1	Eabs	sigma	0
259.849354	1	5	6	1	1	Eabs	sigma	0
262.284500	1	5	7	1	1	Eabs	sigma	0
258.724376	1	5	8	1	1	Eabs	sigma	0
266.780349	1	5	9	1	1	Eabs	sigma	0
229.718343	1	5	10	1	1	Eabs	sigma	0
366.829187	1	6	1	1	1	Eabs	sigma	0
352.698368	1	6	2	1	1	Eabs	sigma	0
358.873285	1	6	3	1	1	Eabs	sigma	0
353.305275	1	6	4	1	1	Eabs	sigma	0
351.413494	1	6	5	1	1	Eabs	sigma	0
346.399757	1	6	6	1	1	Eabs	sigma	0
350.774105	1	6	7	1	1	Eabs	sigma	0
345.676251	1	6	8	1	1	Eabs	sigma	0
340.626578	1	6	9	1	1	Eabs	sigma	0
322.809073	1	6	10	1	1	Eabs	sigma	0
537.769853	1	7	1	1	1	Eabs	sigma	0
558.444301	1	7	2	1	1	Eabs	sigma	0
563.252527	1	7	3	1	1	Eabs	sigma	0
555.439245	1	7	4	1	1	Eabs	sigma	0
545.197536	1	7	5	1	1	Eabs	sigma	0
527.294122	1	7	6	1	1	Eabs	sigma	0
522.670643	1	7	7	1	1	Eabs	sigma	0
513.247367	1	7	8	1	1	Eabs	sigma	0
490.150865	1	7	9	1	1	Eabs	sigma	0
469.045436	1	7	10	1	1	Eabs	sigma	0
821.127290	1	8	1	1	1	Eabs	sigma	0
826.130631	1	8	2	1	1	Eabs	sigma	0
873.510669	1	8	3	1	1	Eabs	sigma	0
858.677001	1	8	4	1	1	Eabs	sigma	0
841.965071	1	8	5	1	1	Eabs	sigma	0
820.209794	1	8	6	1	1	Eabs	sigma	0
799.311039	1	8	7	1	1	Eabs	sigma	0
785.298178	1	8	8	1	1	Eabs	sigma	0
750.598068	1	8	9	1	1	Eabs	sigma	0
691.353534	1	8	10	1	1	Eabs	sigma	0
1192.584759	1	9	1	1	1	Eabs	sigma	0
1329.434718	1	9	2	1	1	Eabs	sigma	0
1382.589058	1	9	3	1	1	Eabs	sigma	0
1348.638974	1	9	4	1	1	Eabs	sigma	0
1306.963865	1	9	5	1	1	Eabs	sigma	0
1264.082700	1	9	6	1	1	Eabs	sigma	0
1217.024548	1	9	7	1	1	Eabs	sigma	0
1222.953053	1	9	8	1	1	Eabs	sigma	0
1148.943930	1	9	9	1	1	Eabs	sigma	0
1024.703806	1	9	10	1	1	Eabs	sigma	0
2006.618205	1	10	1	1	1	Eabs	sigma	0
2131.593570	1	10	2	1	1	Eabs	sigma	0
2215.294904	1	10	3	1	1	Eabs	sigma	0
2146.784749	1	10	4	1	1	Eabs	sigma	0
1999.500697	1	10	5	1	1	Eabs	sigma	0
1877.192885	1	10	6	1	1	Eabs	sigma	0
1848.270322	1	10	7	1	1	Eabs	sigma	0
1816.132821	1	10	8	1	1	Eabs	sigma	0
1732.269986	1	10	9	1	1	Eabs	sigma	0
1540.291821	1	10	10	1	1	Eabs	sigma	0
NaN	2	1	1	1	1	Eabs	sigma	0
NaN	2	1	2	1	1	Eabs	sigma	0
NaN	2	1	3	1	1	Eabs	sigma	0
NaN	2	1	4	1	1	Eabs	sigma	0
NaN	2	1	5	1	1	Eabs	sigma	0
NaN	2	1	6	1	1	Eabs	sigma	0
NaN	2	1	7	1	1	Eabs	sigma	0
NaN	2	1	8	1	1	Eabs	sigma	0
NaN	2	1	9	1	1	Eabs	sigma	0
NaN	2	1	10	1	1	Eabs	sigma	0
NaN	2	2	1	1	1	Eabs	sigma	0
NaN	2	2	2	1	1	Eabs	sigma	0
146.079074	2	2	3	1	1	Eabs	sigma	0
98.240260	2	2	4	1	1	Eabs	sigma	0
106.294833	2	2	5	1	1	Eabs	sigma	0
122.667237	2	2	6	1	1	Eabs	sigma	0
111.394402	2	2	7	1	1	Eabs	sigma	0
76.973056	2	2	8	1	1	Eabs	sigma	0
NaN	2	2	9	1	1	Eabs	sigma	0
NaN	2	2	10	1	1	Eabs	sigma	0
183.608533	2	3	1	1	1	Eabs	sigma	0
199.082424	2	3	2	1	1	Eabs	sigma	0
195.755043	2	3	3	1	1	Eabs	sigma	0
181.464474	2	3	4	1	1	Eabs	sigma	0
192.723408	2	3	5	1	1	Eabs	sigma	0
198.604544	2	3	6	1	1	Eabs	sigma	0
180.661618	2	3	7	1	1	Eabs	sigma	0
164.404893	2	3	8	1	1	Eabs	sigma	0
157.842234	2	3	9	1	1	Eabs	sigma	0
136.155279	2	3	10	1	1	Eabs	sigma	0
304.549567	2	4	1	1	1	Eabs	sigma	0
345.593091	2	4	2	1	1	Eabs	sigma	0
305.253623	2	4	3	1	1	Eabs	sigma	0
298.806986	2	4	4	1	1	Eabs	sigma	0
273.171729	2	4	5	1	1	Eabs	sigma	0
281.753282	2	4	6	1	1	Eabs	sigma	0
298.028377	2	4	7	1	1	Eabs	sigma	0
263.871496	2	4	8	1	1	Eabs	sigma	0
242.484039	2	4	9	1	1	Eabs	sigma	0
217.154996	2	4	10	1	1	Eabs	sigma	0
419.776126	2	5	1	1	1	Eabs	sigma	0
371.496618	2	5	2	1	1	Eabs	sigma	0
407.736129	2	5	3	1	1	Eabs	sigma	0
383.152134	2	5	4	1	1	Eabs	sigma	0
369.736037	2	5	5	1	1	Eabs	sigma	0
370.888930	2	5	6	1	1	Eabs	sigma	0
376.795804	2	5	7	1	1	Eabs	sigma	0
374.838496	2	5	8	1	1	Eabs	sigma	0
355.132398	2	5	9	1	1	Eabs	sigma	0
310.762956	2	5	10	1	1	Eabs	sigma	0
458.409468	2	6	1	1	1	Eabs	sigma	0
500.289876	2	6	2	1	1	Eabs	sigma	0
488.590057	2	6	3	1	1	Eabs	sigma	0
486.224531	2	6	4	1	1	Eabs	sigma	0
478.937700	2	6	5	1	1	Eabs	sigma	0
476.607000	2	6	6	1	1	Eabs	sigma	0
482.946130	2	6	7	1	1	Eabs	sigma	0
471.120220	2	6	8	1	1	Eabs	sigma	0
458.547091	2	6	9	1	1	Eabs	sigma	0
440.829216	2	6	10	1	1	Eabs	sigma	0
718.076488	2	7	1	1	1	Eabs	sigma	0
734.173829	2	7	2	1	1	Eabs	sigma	0
721.140185	2	7	3	1	1	Eabs	sigma	0
734.881459	2	7	4	1	1	Eabs	sigma	0
731.029077	2	7	5	1	1	Eabs	sigma	0
706.802608	2	7	6	1	1	Eabs	sigma	0
694.387191	2	7	7	1	1	Eabs	sigma	0
680.544396	2	7	8	1	1	Eabs	sigma	0
665.128644	2	7	9	1	1	Eabs	sigma	0
626.454260	2	7	10	1	1	Eabs	sigma	0
1069.016876	2	8	1	1	1	Eabs	sigma	0
1150.303427	2	8	2	1	1	Eabs	sigma	0
1134.979137	2	8	3	1	1	Eabs	sigma	0
1128.332308	2	8	4	1	1	Eabs	sigma	0
1104.439853	2	8	5	1	1	Eabs	sigma	0
1081.522620	2	8	6	1	1	Eabs	sigma	0
1061.147054	2	8	7	1	1	Eabs	sigma	0
1049.016337	2	8	8	1	1	Eabs	sigma	0
991.939577	2	8	9	1	1	Eabs	sigma	0
925.254001	2	8	10	1	1	Eabs	sigma	0
1660.438073	2	9	1	1	1	Eabs	sigma	0
1725.538721	2	9	2	1	1	Eabs	sigma	0
1776.675418	2	9	3	1	1	Eabs	sigma	0
1741.132618	2	9	4	1	1	Eabs	sigma	0
1658.655368	2	9	5	1	1	Eabs	sigma	0
1610.998801	2	9	6	1	1	Eabs	sigma	0
1566.457693	2	9	7	1	1	Eabs	sigma	0
1540.370518	2	9	8	1	1	Eabs	sigma	0
1493.204922	2	9	9	1	1	Eabs	sigma	0
1371.927684	2	9	10	1	1	Eabs	sigma	0
2577.217790	2	10	1	1	1	Eabs	sigma	0
2719.364060	2	10	2	1	1	Eabs	sigma	0
2734.014009	2	10	3	1	1	Eabs	sigma	0
2617.054742	2	10	4	1	1	Eabs	sigma	0
2459.033100	2	10	5	1	1	Eabs	sigma	0
2356.202005	2	10	6	1	1	Eabs	sigma	0
