tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity	N
NaN	1	1	1	1	1	Eabs	mean	1	0
NaN	1	1	2	1	1	Eabs	mean	1	1
NaN	1	1	3	1	1	Eabs	mean	1	0
NaN	1	1	4	1	1	Eabs	mean	1	0
NaN	1	1	5	1	1	Eabs	mean	1	1
NaN	1	1	6	1	1	Eabs	mean	1	0
NaN	1	1	7	1	1	Eabs	mean	1	0
NaN	1	1	8	1	1	Eabs	mean	1	0
NaN	1	1	9	1	1	Eabs	mean	1	0
NaN	1	1	10	1	1	Eabs	mean	1	0
NaN	1	2	1	1	1	Eabs	mean	1	33
NaN	1	2	2	1	1	Eabs	mean	1	48
NaN	1	2	3	1	1	Eabs	mean	1	99
NaN	1	2	4	1	1	Eabs	mean	1	98
NaN	1	2	5	1	1	Eabs	mean	1	115
NaN	1	2	6	1	1	Eabs	mean	1	120
NaN	1	2	7	1	1	Eabs	mean	1	77
NaN	1	2	8	1	1	Eabs	mean	1	49
NaN	1	2	9	1	1	Eabs	mean	1	16
NaN	1	2	10	1	1	Eabs	mean	1	2
NaN	1	3	1	1	1	Eabs	mean	1	192
338.701685	1	3	2	1	1	Eabs	mean	1	384
337.171048	1	3	3	1	1	Eabs	mean	1	602
329.429428	1	3	4	1	1	Eabs	mean	1	918
314.781737	1	3	5	1	1	Eabs	mean	1	1171
306.065892	1	3	6	1	1	Eabs	mean	1	1178
292.938452	1	3	7	1	1	Eabs	mean	1	1100
286.442994	1	3	8	1	1	Eabs	mean	1	874
268.163968	1	3	9	1	1	Eabs	mean	1	611
253.281007	1	3	10	1	1	Eabs	mean	1	321
468.669666	1	4	1	1	1	Eabs	mean	1	608
477.408007	1	4	2	1	1	Eabs	mean	1	1109
486.517554	1	4	3	1	1	Eabs	mean	1	1993
483.731823	1	4	4	1	1	Eabs	mean	1	3224
455.064851	1	4	5	1	1	Eabs	mean	1	4377
448.171484	1	4	6	1	1	Eabs	mean	1	4950
433.224844	1	4	7	1	1	Eabs	mean	1	4760
407.499962	1	4	8	1	1	Eabs	mean	1	3990
388.128238	1	4	9	1	1	Eabs	mean	1	3203
345.157579	1	4	10	1	1	Eabs	mean	1	2169
705.855867	1	5	1	1	1	Eabs	mean	1	1236
703.330385	1	5	2	1	1	Eabs	mean	1	3356
692.505534	1	5	3	1	1	Eabs	mean	1	7187
676.492507	1	5	4	1	1	Eabs	mean	1	12635
657.299188	1	5	5	1	1	Eabs	mean	1	18453
638.399220	1	5	6	1	1	Eabs	mean	1	21480
620.593402	1	5	7	1	1	Eabs	mean	1	20306
594.980139	1	5	8	1	1	Eabs	mean	1	16694
561.276134	1	5	9	1	1	Eabs	mean	1	12047
507.165651	1	5	10	1	1	Eabs	mean	1	8054
972.682321	1	6	1	1	1	Eabs	mean	1	3715
965.553533	1	6	2	1	1	Eabs	mean	1	10627
954.333850	1	6	3	1	1	Eabs	mean	1	24171
936.451987	1	6	4	1	1	Eabs	mean	1	44861
914.003417	1	6	5	1	1	Eabs	mean	1	68006
888.257271	1	6	6	1	1	Eabs	mean	1	80140
868.117639	1	6	7	1	1	Eabs	mean	1	75728
843.121456	1	6	8	1	1	Eabs	mean	1	62036
803.790613	1	6	9	1	1	Eabs	mean	1	43288
733.882716	1	6	10	1	1	Eabs	mean	1	25952
1307.675518	1	7	1	1	1	Eabs	mean	1	6695
1315.587298	1	7	2	1	1	Eabs	mean	1	18313
1304.761776	1	7	3	1	1	Eabs	mean	1	42162
1284.255501	1	7	4	1	1	Eabs	mean	1	80703
1254.813877	1	7	5	1	1	Eabs	mean	1	125729
1219.578239	1	7	6	1	1	Eabs	mean	1	154732
1191.649531	1	7	7	1	1	Eabs	mean	1	152848
1159.893682	1	7	8	1	1	Eabs	mean	1	128415
1109.700554	1	7	9	1	1	Eabs	mean	1	95897
1035.679068	1	7	10	1	1	Eabs	mean	1	59946
1723.457392	1	8	1	1	1	Eabs	mean	1	8119
1770.389393	1	8	2	1	1	Eabs	mean	1	20554
1783.402408	1	8	3	1	1	Eabs	mean	1	46220
1763.929491	1	8	4	1	1	Eabs	mean	1	87877
1720.878822	1	8	5	1	1	Eabs	mean	1	138453
1678.015563	1	8	6	1	1	Eabs	mean	1	171514
1638.695027	1	8	7	1	1	Eabs	mean	1	171423
1588.015486	1	8	8	1	1	Eabs	mean	1	149516
1528.797237	1	8	9	1	1	Eabs	mean	1	115404
1422.679920	1	8	10	1	1	Eabs	mean	1	77414
2216.527075	1	9	1	1	1	Eabs	mean	1	5691
2379.279637	1	9	2	1	1	Eabs	mean	1	14176
2444.840464	1	9	3	1	1	Eabs	mean	1	32683
2425.696987	1	9	4	1	1	Eabs	mean	1	63575
2363.834137	1	9	5	1	1	Eabs	mean	1	100829
2292.927686	1	9	6	1	1	Eabs	mean	1	125041
2225.178856	1	9	7	1	1	Eabs	mean	1	125042
2166.091773	1	9	8	1	1	Eabs	mean	1	108970
2091.837389	1	9	9	1	1	Eabs	mean	1	84713
1954.960130	1	9	10	1	1	Eabs	mean	1	57071
2977.441744	1	10	1	1	1	Eabs	mean	1	2318
3439.109532	1	10	2	1	1	Eabs	mean	1	6205
3522.608163	1	10	3	1	1	Eabs	mean	1	15704
3451.038302	1	10	4	1	1	Eabs	mean	1	32720
3266.562993	1	10	5	1	1	Eabs	mean	1	52265
3092.369536	1	10	6	1	1	Eabs	mean	1	65727
