tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity	N
NaN	1	1	1	1	1	Eabs	sigma	1	0
NaN	1	1	2	1	1	Eabs	sigma	1	1
NaN	1	1	3	1	1	Eabs	sigma	1	0
NaN	1	1	4	1	1	Eabs	sigma	1	0
NaN	1	1	5	1	1	Eabs	sigma	1	1
NaN	1	1	6	1	1	Eabs	sigma	1	0
NaN	1	1	7	1	1	Eabs	sigma	1	0
NaN	1	1	8	1	1	Eabs	sigma	1	0
NaN	1	1	9	1	1	Eabs	sigma	1	0
NaN	1	1	10	1	1	Eabs	sigma	1	0
NaN	1	2	1	1	1	Eabs	sigma	1	33
NaN	1	2	2	1	1	Eabs	sigma	1	48
NaN	1	2	3	1	1	Eabs	sigma	1	99
NaN	1	2	4	1	1	Eabs	sigma	1	98
NaN	1	2	5	1	1	Eabs	sigma	1	115
NaN	1	2	6	1	1	Eabs	sigma	1	120
NaN	1	2	7	1	1	Eabs	sigma	1	77
NaN	1	2	8	1	1	Eabs	sigma	1	49
NaN	1	2	9	1	1	Eabs	sigma	1	16
NaN	1	2	10	1	1	Eabs	sigma	1	2
NaN	1	3	1	1	1	Eabs	sigma	1	192
124.603672	1	3	2	1	1	Eabs	sigma	1	384
142.046141	1	3	3	1	1	Eabs	sigma	1	602
145.091590	1	3	4	1	1	Eabs	sigma	1	918
126.366624	1	3	5	1	1	Eabs	sigma	1	1171
145.467691	1	3	6	1	1	Eabs	sigma	1	1178
113.303499	1	3	7	1	1	Eabs	sigma	1	1100
122.890573	1	3	8	1	1	Eabs	sigma	1	874
110.724744	1	3	9	1	1	Eabs	sigma	1	611
85.461001	1	3	10	1	1	Eabs	sigma	1	321
172.417489	1	4	1	1	1	Eabs	sigma	1	608
185.958932	1	4	2	1	1	Eabs	sigma	1	1109
204.794140	1	4	3	1	1	Eabs	sigma	1	1993
207.575818	1	4	4	1	1	Eabs	sigma	1	3224
206.217734	1	4	5	1	1	Eabs	sigma	1	4377
206.482570	1	4	6	1	1	Eabs	sigma	1	4950
206.831378	1	4	7	1	1	Eabs	sigma	1	4760
177.105378	1	4	8	1	1	Eabs	sigma	1	3990
178.542894	1	4	9	1	1	Eabs	sigma	1	3203
144.866796	1	4	10	1	1	Eabs	sigma	1	2169
286.567875	1	5	1	1	1	Eabs	sigma	1	1236
252.582629	1	5	2	1	1	Eabs	sigma	1	3356
263.582361	1	5	3	1	1	Eabs	sigma	1	7187
258.213650	1	5	4	1	1	Eabs	sigma	1	12635
261.781510	1	5	5	1	1	Eabs	sigma	1	18453
259.849354	1	5	6	1	1	Eabs	sigma	1	21480
262.284500	1	5	7	1	1	Eabs	sigma	1	20306
258.724376	1	5	8	1	1	Eabs	sigma	1	16694
266.780349	1	5	9	1	1	Eabs	sigma	1	12047
229.718343	1	5	10	1	1	Eabs	sigma	1	8054
366.829187	1	6	1	1	1	Eabs	sigma	1	3715
352.698368	1	6	2	1	1	Eabs	sigma	1	10627
358.873285	1	6	3	1	1	Eabs	sigma	1	24171
353.305275	1	6	4	1	1	Eabs	sigma	1	44861
351.413494	1	6	5	1	1	Eabs	sigma	1	68006
346.399757	1	6	6	1	1	Eabs	sigma	1	80140
350.774105	1	6	7	1	1	Eabs	sigma	1	75728
345.676251	1	6	8	1	1	Eabs	sigma	1	62036
340.626578	1	6	9	1	1	Eabs	sigma	1	43288
322.809073	1	6	10	1	1	Eabs	sigma	1	25952
537.769853	1	7	1	1	1	Eabs	sigma	1	6695
558.444301	1	7	2	1	1	Eabs	sigma	1	18313
563.252527	1	7	3	1	1	Eabs	sigma	1	42162
555.439245	1	7	4	1	1	Eabs	sigma	1	80703
545.197536	1	7	5	1	1	Eabs	sigma	1	125729
527.294122	1	7	6	1	1	Eabs	sigma	1	154732
522.670643	1	7	7	1	1	Eabs	sigma	1	152848
513.247367	1	7	8	1	1	Eabs	sigma	1	128415
490.150865	1	7	9	1	1	Eabs	sigma	1	95897
469.045436	1	7	10	1	1	Eabs	sigma	1	59946
821.127290	1	8	1	1	1	Eabs	sigma	1	8119
826.130631	1	8	2	1	1	Eabs	sigma	1	20554
873.510669	1	8	3	1	1	Eabs	sigma	1	46220
858.677001	1	8	4	1	1	Eabs	sigma	1	87877
841.965071	1	8	5	1	1	Eabs	sigma	1	138453
820.209794	1	8	6	1	1	Eabs	sigma	1	171514
799.311039	1	8	7	1	1	Eabs	sigma	1	171423
785.298178	1	8	8	1	1	Eabs	sigma	1	149516
750.598068	1	8	9	1	1	Eabs	sigma	1	115404
691.353534	1	8	10	1	1	Eabs	sigma	1	77414
1192.584759	1	9	1	1	1	Eabs	sigma	1	5691
1329.434718	1	9	2	1	1	Eabs	sigma	1	14176
1382.589058	1	9	3	1	1	Eabs	sigma	1	32683
1348.638974	1	9	4	1	1	Eabs	sigma	1	63575
1306.963865	1	9	5	1	1	Eabs	sigma	1	100829
1264.082700	1	9	6	1	1	Eabs	sigma	1	125041
1217.024548	1	9	7	1	1	Eabs	sigma	1	125042
1222.953053	1	9	8	1	1	Eabs	sigma	1	108970
1148.943930	1	9	9	1	1	Eabs	sigma	1	84713
1024.703806	1	9	10	1	1	Eabs	sigma	1	57071
2006.618205	1	10	1	1	1	Eabs	sigma	1	2318
2131.593570	1	10	2	1	1	Eabs	sigma	1	6205
2215.294904	1	10	3	1	1	Eabs	sigma	1	15704
2146.784749	1	10	4	1	1	Eabs	sigma	1	32720
1999.500697	1	10	5	1	1	Eabs	sigma	1	52265
1877.192885	1	10	6	1	1	Eabs	sigma	1	65727
1848.270322	1	10	7	1	1	Eabs	sigma	1	66866
1816.132821	1	10	8	1	1	Eabs	sigma	1	56907
1732.269986	1	10	9	1	1	Eabs	sigma	1	42293
1540.291821	1	10	10	1	1	Eabs	sigma	1	27033
