tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity
39.869121	1	1	1	1	1	Eabs	mean	5
39.856881	1	1	2	1	1	Eabs	mean	5
36.616153	1	1	3	1	1	Eabs	mean	5
32.418611	1	1	4	1	1	Eabs	mean	5
31.659485	1	1	5	1	1	Eabs	mean	5
32.560712	1	1	6	1	1	Eabs	mean	5
33.101988	1	1	7	1	1	Eabs	mean	5
33.180210	1	1	8	1	1	Eabs	mean	5
32.107619	1	1	9	1	1	Eabs	mean	5
29.594883	1	1	10	1	1	Eabs	mean	5
58.968065	1	2	1	1	1	Eabs	mean	5
56.699442	1	2	2	1	1	Eabs	mean	5
49.654351	1	2	3	1	1	Eabs	mean	5
42.352133	1	2	4	1	1	Eabs	mean	5
41.776313	1	2	5	1	1	Eabs	mean	5
43.474744	1	2	6	1	1	Eabs	mean	5
45.038048	1	2	7	1	1	Eabs	mean	5
44.836932	1	2	8	1	1	Eabs	mean	5
43.724108	1	2	9	1	1	Eabs	mean	5
40.419879	1	2	10	1	1	Eabs	mean	5
87.375449	1	3	1	1	1	Eabs	mean	5
81.808258	1	3	2	1	1	Eabs	mean	5
68.710190	1	3	3	1	1	Eabs	mean	5
54.962321	1	3	4	1	1	Eabs	mean	5
54.717238	1	3	5	1	1	Eabs	mean	5
57.777792	1	3	6	1	1	Eabs	mean	5
60.296102	1	3	7	1	1	Eabs	mean	5
60.768009	1	3	8	1	1	Eabs	mean	5
59.602727	1	3	9	1	1	Eabs	mean	5
55.222910	1	3	10	1	1	Eabs	mean	5
126.857241	1	4	1	1	1	Eabs	mean	5
121.530295	1	4	2	1	1	Eabs	mean	5
92.541260	1	4	3	1	1	Eabs	mean	5
72.500425	1	4	4	1	1	Eabs	mean	5
73.398067	1	4	5	1	1	Eabs	mean	5
77.996877	1	4	6	1	1	Eabs	mean	5
81.836358	1	4	7	1	1	Eabs	mean	5
82.946739	1	4	8	1	1	Eabs	mean	5
81.826984	1	4	9	1	1	Eabs	mean	5
75.914382	1	4	10	1	1	Eabs	mean	5
187.541195	1	5	1	1	1	Eabs	mean	5
173.006184	1	5	2	1	1	Eabs	mean	5
125.754929	1	5	3	1	1	Eabs	mean	5
99.003918	1	5	4	1	1	Eabs	mean	5
100.906185	1	5	5	1	1	Eabs	mean	5
107.012079	1	5	6	1	1	Eabs	mean	5
112.748960	1	5	7	1	1	Eabs	mean	5
114.573084	1	5	8	1	1	Eabs	mean	5
113.185862	1	5	9	1	1	Eabs	mean	5
105.340890	1	5	10	1	1	Eabs	mean	5
274.480348	1	6	1	1	1	Eabs	mean	5
253.330349	1	6	2	1	1	Eabs	mean	5
174.205261	1	6	3	1	1	Eabs	mean	5
139.554103	1	6	4	1	1	Eabs	mean	5
141.516402	1	6	5	1	1	Eabs	mean	5
149.514201	1	6	6	1	1	Eabs	mean	5
157.060796	1	6	7	1	1	Eabs	mean	5
159.741232	1	6	8	1	1	Eabs	mean	5
158.387015	1	6	9	1	1	Eabs	mean	5
148.019688	1	6	10	1	1	Eabs	mean	5
416.629584	1	7	1	1	1	Eabs	mean	5
368.341066	1	7	2	1	1	Eabs	mean	5
243.925620	1	7	3	1	1	Eabs	mean	5
201.179920	1	7	4	1	1	Eabs	mean	5
202.287152	1	7	5	1	1	Eabs	mean	5
209.200295	1	7	6	1	1	Eabs	mean	5
220.181858	1	7	7	1	1	Eabs	mean	5
225.313120	1	7	8	1	1	Eabs	mean	5
224.739703	1	7	9	1	1	Eabs	mean	5
210.610044	1	7	10	1	1	Eabs	mean	5
NaN	1	8	1	1	1	Eabs	mean	5
571.571473	1	8	2	1	1	Eabs	mean	5
350.897637	1	8	3	1	1	Eabs	mean	5
290.847022	1	8	4	1	1	Eabs	mean	5
292.397313	1	8	5	1	1	Eabs	mean	5
302.222556	1	8	6	1	1	Eabs	mean	5
310.655855	1	8	7	1	1	Eabs	mean	5
323.429582	1	8	8	1	1	Eabs	mean	5
326.586022	1	8	9	1	1	Eabs	mean	5
302.506789	1	8	10	1	1	Eabs	mean	5
NaN	1	9	1	1	1	Eabs	mean	5
NaN	1	9	2	1	1	Eabs	mean	5
499.899632	1	9	3	1	1	Eabs	mean	5
432.302863	1	9	4	1	1	Eabs	mean	5
430.475438	1	9	5	1	1	Eabs	mean	5
443.172670	1	9	6	1	1	Eabs	mean	5
460.101241	1	9	7	1	1	Eabs	mean	5
477.629141	1	9	8	1	1	Eabs	mean	5
492.517772	1	9	9	1	1	Eabs	mean	5
446.916794	1	9	10	1	1	Eabs	mean	5
NaN	1	10	1	1	1	Eabs	mean	5
NaN	1	10	2	1	1	Eabs	mean	5
767.948935	1	10	3	1	1	Eabs	mean	5
651.421577	1	10	4	1	1	Eabs	mean	5
666.169416	1	10	5	1	1	Eabs	mean	5
699.639011	1	10	6	1	1	Eabs	mean	5
700.351648	1	10	7	1	1	Eabs	mean	5
722.626581	1	10	8	1	1	Eabs	mean	5
790.915930	1	10	9	1	1	Eabs	mean	5
666.393400	1	10	10	1	1	Eabs	mean	5
57.372142	2	1	1	1	1	Eabs	mean	5
56.378552	2	1	2	1	1	Eabs	mean	5
52.683607	2	1	3	1	1	Eabs	mean	5
45.404125	2	1	4	1	1	Eabs	mean	5
45.095233	2	1	5	1	1	Eabs	mean	5
45.923538	2	1	6	1	1	Eabs	mean	5
46.920546	2	1	7	1	1	Eabs	mean	5
46.370530	2	1	8	1	1	Eabs	mean	5
45.270955	2	1	9	1	1	Eabs	mean	5
41.657916	2	1	10	1	1	Eabs	mean	5
81.098906	2	2	1	1	1	Eabs	mean	5
79.790731	2	2	2	1	1	Eabs	mean	5
70.100833	2	2	3	1	1	Eabs	mean	5
59.347707	2	2	4	1	1	Eabs	mean	5
58.610083	2	2	5	1	1	Eabs	mean	5
60.988857	2	2	6	1	1	Eabs	mean	5
