tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity
NaN	1	1	1	1	1	Epres	sigma	3
NaN	1	1	2	1	1	Epres	sigma	3
NaN	1	1	3	1	1	Epres	sigma	3
NaN	1	1	4	1	1	Epres	sigma	3
762.014552	1	1	5	1	1	Epres	sigma	3
729.977749	1	1	6	1	1	Epres	sigma	3
742.602451	1	1	7	1	1	Epres	sigma	3
764.829566	1	1	8	1	1	Epres	sigma	3
719.027735	1	1	9	1	1	Epres	sigma	3
728.050540	1	1	10	1	1	Epres	sigma	3
NaN	1	2	1	1	1	Epres	sigma	3
NaN	1	2	2	1	1	Epres	sigma	3
729.085794	1	2	3	1	1	Epres	sigma	3
759.965309	1	2	4	1	1	Epres	sigma	3
760.549626	1	2	5	1	1	Epres	sigma	3
744.688949	1	2	6	1	1	Epres	sigma	3
752.263426	1	2	7	1	1	Epres	sigma	3
763.623277	1	2	8	1	1	Epres	sigma	3
751.787303	1	2	9	1	1	Epres	sigma	3
761.583302	1	2	10	1	1	Epres	sigma	3
NaN	1	3	1	1	1	Epres	sigma	3
765.062871	1	3	2	1	1	Epres	sigma	3
782.989922	1	3	3	1	1	Epres	sigma	3
769.788036	1	3	4	1	1	Epres	sigma	3
782.272071	1	3	5	1	1	Epres	sigma	3
775.372430	1	3	6	1	1	Epres	sigma	3
774.457428	1	3	7	1	1	Epres	sigma	3
769.285366	1	3	8	1	1	Epres	sigma	3
780.374431	1	3	9	1	1	Epres	sigma	3
771.449657	1	3	10	1	1	Epres	sigma	3
862.196125	1	4	1	1	1	Epres	sigma	3
889.527476	1	4	2	1	1	Epres	sigma	3
849.933939	1	4	3	1	1	Epres	sigma	3
841.299224	1	4	4	1	1	Epres	sigma	3
818.831129	1	4	5	1	1	Epres	sigma	3
821.385436	1	4	6	1	1	Epres	sigma	3
817.425902	1	4	7	1	1	Epres	sigma	3
820.754404	1	4	8	1	1	Epres	sigma	3
818.044806	1	4	9	1	1	Epres	sigma	3
813.942864	1	4	10	1	1	Epres	sigma	3
979.554428	1	5	1	1	1	Epres	sigma	3
973.376005	1	5	2	1	1	Epres	sigma	3
953.578637	1	5	3	1	1	Epres	sigma	3
929.088029	1	5	4	1	1	Epres	sigma	3
915.263137	1	5	5	1	1	Epres	sigma	3
891.526119	1	5	6	1	1	Epres	sigma	3
887.690344	1	5	7	1	1	Epres	sigma	3
892.564785	1	5	8	1	1	Epres	sigma	3
