tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity
40079.347927	1	1	1	1	1	Epres	mean	5
40085.588686	1	1	2	1	1	Epres	mean	5
40047.486062	1	1	3	1	1	Epres	mean	5
40042.309858	1	1	4	1	1	Epres	mean	5
40061.372822	1	1	5	1	1	Epres	mean	5
40071.579514	1	1	6	1	1	Epres	mean	5
40083.481984	1	1	7	1	1	Epres	mean	5
40095.066002	1	1	8	1	1	Epres	mean	5
40084.690336	1	1	9	1	1	Epres	mean	5
40097.280852	1	1	10	1	1	Epres	mean	5
39957.912411	1	2	1	1	1	Epres	mean	5
40034.267071	1	2	2	1	1	Epres	mean	5
40008.524216	1	2	3	1	1	Epres	mean	5
40041.095808	1	2	4	1	1	Epres	mean	5
40049.974864	1	2	5	1	1	Epres	mean	5
40056.773898	1	2	6	1	1	Epres	mean	5
40062.406838	1	2	7	1	1	Epres	mean	5
40069.044453	1	2	8	1	1	Epres	mean	5
40068.645872	1	2	9	1	1	Epres	mean	5
40081.170587	1	2	10	1	1	Epres	mean	5
39893.172521	1	3	1	1	1	Epres	mean	5
39918.633108	1	3	2	1	1	Epres	mean	5
39968.865499	1	3	3	1	1	Epres	mean	5
40014.723482	1	3	4	1	1	Epres	mean	5
40032.682431	1	3	5	1	1	Epres	mean	5
40028.573032	1	3	6	1	1	Epres	mean	5
40026.807215	1	3	7	1	1	Epres	mean	5
40027.209022	1	3	8	1	1	Epres	mean	5
40032.056436	1	3	9	1	1	Epres	mean	5
40049.198437	1	3	10	1	1	Epres	mean	5
39688.039897	1	4	1	1	1	Epres	mean	5
39717.499599	1	4	2	1	1	Epres	mean	5
39869.060626	1	4	3	1	1	Epres	mean	5
39968.198749	1	4	4	1	1	Epres	mean	5
39986.081693	1	4	5	1	1	Epres	mean	5
39982.955761	1	4	6	1	1	Epres	mean	5
39975.230041	1	4	7	1	1	Epres	mean	5
39974.156824	1	4	8	1	1	Epres	mean	5
39971.307788	1	4	9	1	1	Epres	mean	5
39990.932962	1	4	10	1	1	Epres	mean	5
39385.657228	1	5	1	1	1	Epres	mean	5
39478.438052	1	5	2	1	1	Epres	mean	5
39720.100811	1	5	3	1	1	Epres	mean	5
39876.319927	1	5	4	1	1	Epres	mean	5
39904.603552	1	5	5	1	1	Epres	mean	5
39899.030951	1	5	6	1	1	Epres	mean	5
39880.063864	1	5	7	1	1	Epres	mean	5
39876.581506	1	5	8	1	1	Epres	mean	5
39873.885824	1	5	9	1	1	Epres	mean	5
39899.832811	1	5	10	1	1	Epres	mean	5
39017.539363	1	6	1	1	1	Epres	mean	5
39112.124184	1	6	2	1	1	Epres	mean	5
39527.634821	1	6	3	1	1	Epres	mean	5
39734.713626	1	6	4	1	1	Epres	mean	5
39767.970746	1	6	5	1	1	Epres	mean	5
39771.668337	1	6	6	1	1	Epres	mean	5
39748.829358	1	6	7	1	1	Epres	mean	5
39719.302939	1	6	8	1	1	Epres	mean	5
39725.152457	1	6	9	1	1	Epres	mean	5
39749.261928	1	6	10	1	1	Epres	mean	5
38397.820291	1	7	1	1	1	Epres	mean	5
38610.460453	1	7	2	1	1	Epres	mean	5
39263.541717	1	7	3	1	1	Epres	mean	5
39499.385647	1	7	4	1	1	Epres	mean	5
39561.977048	1	7	5	1	1	Epres	mean	5
39570.644431	1	7	6	1	1	Epres	mean	5
39534.977709	1	7	7	1	1	Epres	mean	5
39509.476983	1	7	8	1	1	Epres	mean	5
39485.775975	1	7	9	1	1	Epres	mean	5
39527.002314	1	7	10	1	1	Epres	mean	5
NaN	1	8	1	1	1	Epres	mean	5
37900.825783	1	8	2	1	1	Epres	mean	5
38859.165603	1	8	3	1	1	Epres	mean	5
39128.500588	1	8	4	1	1	Epres	mean	5
39222.276887	1	8	5	1	1	Epres	mean	5
39250.647735	1	8	6	1	1	Epres	mean	5
39210.322268	1	8	7	1	1	Epres	mean	5
39164.408580	1	8	8	1	1	Epres	mean	5
39114.097447	1	8	9	1	1	Epres	mean	5
39143.728155	1	8	10	1	1	Epres	mean	5
NaN	1	9	1	1	1	Epres	mean	5
NaN	1	9	2	1	1	Epres	mean	5
38252.366479	1	9	3	1	1	Epres	mean	5
38562.451059	1	9	4	1	1	Epres	mean	5
38663.688744	1	9	5	1	1	Epres	mean	5
38707.960224	1	9	6	1	1	Epres	mean	5
38670.746094	1	9	7	1	1	Epres	mean	5
38586.880766	1	9	8	1	1	Epres	mean	5
38478.000585	1	9	9	1	1	Epres	mean	5
38525.103675	1	9	10	1	1	Epres	mean	5
NaN	1	10	1	1	1	Epres	mean	5
NaN	1	10	2	1	1	Epres	mean	5
37381.788565	1	10	3	1	1	Epres	mean	5
37742.916362	1	10	4	1	1	Epres	mean	5
37935.098412	1	10	5	1	1	Epres	mean	5
37880.388945	1	10	6	1	1	Epres	mean	5
37845.857191	1	10	7	1	1	Epres	mean	5
37772.073169	1	10	8	1	1	Epres	mean	5
37439.084947	1	10	9	1	1	Epres	mean	5
37542.805742	1	10	10	1	1	Epres	mean	5
36961.445157	2	1	1	1	1	Epres	mean	5
36999.036869	2	1	2	1	1	Epres	mean	5
37019.701168	2	1	3	1	1	Epres	mean	5
37043.722994	2	1	4	1	1	Epres	mean	5
37051.154949	2	1	5	1	1	Epres	mean	5
37044.604750	2	1	6	1	1	Epres	mean	5
37052.799038	2	1	7	1	1	Epres	mean	5
37059.897911	2	1	8	1	1	Epres	mean	5
37060.530484	2	1	9	1	1	Epres	mean	5
37042.106413	2	1	10	1	1	Epres	mean	5
36977.028665	2	2	1	1	1	Epres	mean	5
36926.019970	2	2	2	1	1	Epres	mean	5
36968.476096	2	2	3	1	1	Epres	mean	5
37007.874540	2	2	4	1	1	Epres	mean	5
37009.201491	2	2	5	1	1	Epres	mean	5
37023.309877	2	2	6	1	1	Epres	mean	5
37017.579783	2	2	7	1	1	Epres	mean	5
37019.905816	2	2	8	1	1	Epres	mean	5
37024.274133	2	2	9	1	1	Epres	mean	5
37035.769695	2	2	10	1	1	Epres	mean	5
36819.605379	2	3	1	1	1	Epres	mean	5
36826.726672	2	3	2	1	1	Epres	mean	5
36896.279749	2	3	3	1	1	Epres	mean	5
36955.748118	2	3	4	1	1	Epres	mean	5
36977.822580	2	3	5	1	1	Epres	mean	5
36970.110066	2	3	6	1	1	Epres	mean	5
36971.273004	2	3	7	1	1	Epres	mean	5
36981.215716	2	3	8	1	1	Epres	mean	5
36977.911682	2	3	9	1	1	Epres	mean	5
37001.534663	2	3	10	1	1	Epres	mean	5
36579.863541	2	4	1	1	1	Epres	mean	5
36621.639069	2	4	2	1	1	Epres	mean	5
36759.200292	2	4	3	1	1	Epres	mean	5
36878.599604	2	4	4	1	1	Epres	mean	5
36905.948715	2	4	5	1	1	Epres	mean	5
36906.390994	2	4	6	1	1	Epres	mean	5
36891.784891	2	4	7	1	1	Epres	mean	5
36888.043720	2	4	8	1	1	Epres	mean	5
36891.235968	2	4	9	1	1	Epres	mean	5
36921.739781	2	4	10	1	1	Epres	mean	5
36096.831598	2	5	1	1	1	Epres	mean	5
36170.611606	2	5	2	1	1	Epres	mean	5
36552.052510	2	5	3	1	1	Epres	mean	5
36758.255253	2	5	4	1	1	Epres	mean	5
36792.784929	2	5	5	1	1	Epres	mean	5
36791.357497	2	5	6	1	1	Epres	mean	5
36771.139614	2	5	7	1	1	Epres	mean	5
36767.349773	2	5	8	1	1	Epres	mean	5
36769.067108	2	5	9	1	1	Epres	mean	5
36795.247841	2	5	10	1	1	Epres	mean	5
35518.988597	2	6	1	1	1	Epres	mean	5
35662.393703	2	6	2	1	1	Epres	mean	5
36279.003654	2	6	3	1	1	Epres	mean	5
36562.371183	2	6	4	1	1	Epres	mean	5
36614.642560	2	6	5	1	1	Epres	mean	5
36624.618932	2	6	6	1	1	Epres	mean	5
36603.527970	2	6	7	1	1	Epres	mean	5
36584.824871	2	6	8	1	1	Epres	mean	5
36574.156178	2	6	9	1	1	Epres	mean	5
36614.889050	2	6	10	1	1	Epres	mean	5
34655.406778	2	7	1	1	1	Epres	mean	5
34927.522975	2	7	2	1	1	Epres	mean	5
35905.189030	2	7	3	1	1	Epres	mean	5
36256.857396	2	7	4	1	1	Epres	mean	5
36352.769578	2	7	5	1	1	Epres	mean	5
36378.006754	2	7	6	1	1	Epres	mean	5
36347.541841	2	7	7	1	1	Epres	mean	5
36316.704439	2	7	8	1	1	Epres	mean	5
36282.048675	2	7	9	1	1	Epres	mean	5
36323.370946	2	7	10	1	1	Epres	mean	5
NaN	2	8	1	1	1	Epres	mean	5
34110.418211	2	8	2	1	1	Epres	mean	5
35429.455213	2	8	3	1	1	Epres	mean	5
35782.772861	2	8	4	1	1	Epres	mean	5
35972.781844	2	8	5	1	1	Epres	mean	5
36024.597515	2	8	6	1	1	Epres	mean	5
35934.737185	2	8	7	1	1	Epres	mean	5
35885.641843	2	8	8	1	1	Epres	mean	5
35849.710795	2	8	9	1	1	Epres	mean	5
35870.361514	2	8	10	1	1	Epres	mean	5
NaN	2	9	1	1	1	Epres	mean	5
NaN	2	9	2	1	1	Epres	mean	5
34872.679051	2	9	3	1	1	Epres	mean	5
35189.005813	2	9	4	1	1	Epres	mean	5
35389.188027	2	9	5	1	1	Epres	mean	5
35431.313364	2	9	6	1	1	Epres	mean	5
35373.005002	2	9	7	1	1	Epres	mean	5
35299.023926	2	9	8	1	1	Epres	mean	5
35188.064669	2	9	9	1	1	Epres	mean	5
35143.211692	2	9	10	1	1	Epres	mean	5
NaN	2	10	1	1	1	Epres	mean	5
NaN	2	10	2	1	1	Epres	mean	5
34316.675525	2	10	3	1	1	Epres	mean	5
34717.794622	2	10	4	1	1	Epres	mean	5
34906.418701	2	10	5	1	1	Epres	mean	5
34975.623645	2	10	6	1	1	Epres	mean	5
