tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity
NaN	1	1	1	1	1	L	mean	1
NaN	1	1	2	1	1	L	mean	1
NaN	1	1	3	1	1	L	mean	1
NaN	1	1	4	1	1	L	mean	1
NaN	1	1	5	1	1	L	mean	1
NaN	1	1	6	1	1	L	mean	1
NaN	1	1	7	1	1	L	mean	1
NaN	1	1	8	1	1	L	mean	1
NaN	1	1	9	1	1	L	mean	1
NaN	1	1	10	1	1	L	mean	1
NaN	1	2	1	1	1	L	mean	1
NaN	1	2	2	1	1	L	mean	1
NaN	1	2	3	1	1	L	mean	1
NaN	1	2	4	1	1	L	mean	1
NaN	1	2	5	1	1	L	mean	1
NaN	1	2	6	1	1	L	mean	1
NaN	1	2	7	1	1	L	mean	1
NaN	1	2	8	1	1	L	mean	1
NaN	1	2	9	1	1	L	mean	1
NaN	1	2	10	1	1	L	mean	1
NaN	1	3	1	1	1	L	mean	1
0.030557	1	3	2	1	1	L	mean	1
0.030250	1	3	3	1	1	L	mean	1
0.030227	1	3	4	1	1	L	mean	1
0.030164	1	3	5	1	1	L	mean	1
0.030096	1	3	6	1	1	L	mean	1
0.029964	1	3	7	1	1	L	mean	1
0.030046	1	3	8	1	1	L	mean	1
0.030032	1	3	9	1	1	L	mean	1
0.030344	1	3	10	1	1	L	mean	1
0.030178	1	4	1	1	1	L	mean	1
0.029997	1	4	2	1	1	L	mean	1
0.030048	1	4	3	1	1	L	mean	1
0.030055	1	4	4	1	1	L	mean	1
0.030083	1	4	5	1	1	L	mean	1
0.030154	1	4	6	1	1	L	mean	1
0.029979	1	4	7	1	1	L	mean	1
0.029920	1	4	8	1	1	L	mean	1
0.029945	1	4	9	1	1	L	mean	1
0.029889	1	4	10	1	1	L	mean	1
0.029886	1	5	1	1	1	L	mean	1
0.029729	1	5	2	1	1	L	mean	1
0.029649	1	5	3	1	1	L	mean	1
0.029741	1	5	4	1	1	L	mean	1
0.029813	1	5	5	1	1	L	mean	1
0.029796	1	5	6	1	1	L	mean	1
0.029815	1	5	7	1	1	L	mean	1
0.029796	1	5	8	1	1	L	mean	1
0.029806	1	5	9	1	1	L	mean	1
0.029775	1	5	10	1	1	L	mean	1
0.029634	1	6	1	1	1	L	mean	1
0.029495	1	6	2	1	1	L	mean	1
0.029536	1	6	3	1	1	L	mean	1
0.029582	1	6	4	1	1	L	mean	1
0.029603	1	6	5	1	1	L	mean	1
0.029618	1	6	6	1	1	L	mean	1
0.029631	1	6	7	1	1	L	mean	1
0.029647	1	6	8	1	1	L	mean	1
0.029678	1	6	9	1	1	L	mean	1
0.029692	1	6	10	1	1	L	mean	1
0.029647	1	7	1	1	1	L	mean	1
0.029620	1	7	2	1	1	L	mean	1
0.029594	1	7	3	1	1	L	mean	1
0.029612	1	7	4	1	1	L	mean	1
0.029628	1	7	5	1	1	L	mean	1
0.029622	1	7	6	1	1	L	mean	1
0.029626	1	7	7	1	1	L	mean	1
0.029620	1	7	8	1	1	L	mean	1
0.029622	1	7	9	1	1	L	mean	1
0.029642	1	7	10	1	1	L	mean	1
0.029680	1	8	1	1	1	L	mean	1
0.029715	1	8	2	1	1	L	mean	1
0.029704	1	8	3	1	1	L	mean	1
0.029711	1	8	4	1	1	L	mean	1
0.029701	1	8	5	1	1	L	mean	1
0.029686	1	8	6	1	1	L	mean	1
0.029687	1	8	7	1	1	L	mean	1
0.029670	1	8	8	1	1	L	mean	1
0.029648	1	8	9	1	1	L	mean	1
0.029617	1	8	10	1	1	L	mean	1
0.029852	1	9	1	1	1	L	mean	1
0.029865	1	9	2	1	1	L	mean	1
0.029806	1	9	3	1	1	L	mean	1
0.029810	1	9	4	1	1	L	mean	1
0.029794	1	9	5	1	1	L	mean	1
0.029789	1	9	6	1	1	L	mean	1
0.029798	1	9	7	1	1	L	mean	1
0.029775	1	9	8	1	1	L	mean	1
0.029734	1	9	9	1	1	L	mean	1
0.029731	1	9	10	1	1	L	mean	1
0.029955	1	10	1	1	1	L	mean	1
0.029952	1	10	2	1	1	L	mean	1
0.029863	1	10	3	1	1	L	mean	1
0.029875	1	10	4	1	1	L	mean	1
0.029876	1	10	5	1	1	L	mean	1
0.029892	1	10	6	1	1	L	mean	1
0.029891	1	10	7	1	1	L	mean	1
0.029904	1	10	8	1	1	L	mean	1
0.029865	1	10	9	1	1	L	mean	1
0.029859	1	10	10	1	1	L	mean	1
NaN	2	1	1	1	1	L	mean	1
NaN	2	1	2	1	1	L	mean	1
NaN	2	1	3	1	1	L	mean	1
NaN	2	1	4	1	1	L	mean	1
NaN	2	1	5	1	1	L	mean	1
NaN	2	1	6	1	1	L	mean	1
NaN	2	1	7	1	1	L	mean	1
NaN	2	1	8	1	1	L	mean	1
NaN	2	1	9	1	1	L	mean	1
NaN	2	1	10	1	1	L	mean	1
NaN	2	2	1	1	1	L	mean	1
NaN	2	2	2	1	1	L	mean	1
0.041389	2	2	3	1	1	L	mean	1
0.041714	2	2	4	1	1	L	mean	1
0.041796	2	2	5	1	1	L	mean	1
0.041670	2	2	6	1	1	L	mean	1
0.041637	2	2	7	1	1	L	mean	1
0.041955	2	2	8	1	1	L	mean	1
NaN	2	2	9	1	1	L	mean	1
NaN	2	2	10	1	1	L	mean	1
0.040972	2	3	1	1	1	L	mean	1
0.040853	2	3	2	1	1	L	mean	1
0.041087	2	3	3	1	1	L	mean	1
0.041228	2	3	4	1	1	L	mean	1
0.041601	2	3	5	1	1	L	mean	1
0.041549	2	3	6	1	1	L	mean	1
0.041745	2	3	7	1	1	L	mean	1
0.041845	2	3	8	1	1	L	mean	1
0.041730	2	3	9	1	1	L	mean	1
0.042002	2	3	10	1	1	L	mean	1
0.040599	2	4	1	1	1	L	mean	1
0.040457	2	4	2	1	1	L	mean	1
0.040791	2	4	3	1	1	L	mean	1
0.040933	2	4	4	1	1	L	mean	1
0.041107	2	4	5	1	1	L	mean	1
0.041248	2	4	6	1	1	L	mean	1
0.041369	2	4	7	1	1	L	mean	1
0.041308	2	4	8	1	1	L	mean	1
0.041516	2	4	9	1	1	L	mean	1
0.041796	2	4	10	1	1	L	mean	1
0.041200	2	5	1	1	1	L	mean	1
0.041171	2	5	2	1	1	L	mean	1
0.041156	2	5	3	1	1	L	mean	1
0.041142	2	5	4	1	1	L	mean	1
0.041183	2	5	5	1	1	L	mean	1
0.041148	2	5	6	1	1	L	mean	1
0.041200	2	5	7	1	1	L	mean	1
0.041276	2	5	8	1	1	L	mean	1
0.041378	2	5	9	1	1	L	mean	1
0.041456	2	5	10	1	1	L	mean	1
0.041262	2	6	1	1	1	L	mean	1
0.041261	2	6	2	1	1	L	mean	1
0.041280	2	6	3	1	1	L	mean	1
0.041254	2	6	4	1	1	L	mean	1
0.041233	2	6	5	1	1	L	mean	1
0.041236	2	6	6	1	1	L	mean	1
0.041256	2	6	7	1	1	L	mean	1
0.041266	2	6	8	1	1	L	mean	1
0.041267	2	6	9	1	1	L	mean	1
0.041323	2	6	10	1	1	L	mean	1
0.041248	2	7	1	1	1	L	mean	1
0.041315	2	7	2	1	1	L	mean	1
0.041320	2	7	3	1	1	L	mean	1
0.041311	2	7	4	1	1	L	mean	1
0.041289	2	7	5	1	1	L	mean	1
0.041306	2	7	6	1	1	L	mean	1
0.041297	2	7	7	1	1	L	mean	1
0.041282	2	7	8	1	1	L	mean	1
0.041269	2	7	9	1	1	L	mean	1
0.041277	2	7	10	1	1	L	mean	1
0.041362	2	8	1	1	1	L	mean	1
0.041391	2	8	2	1	1	L	mean	1
0.041408	2	8	3	1	1	L	mean	1
0.041390	2	8	4	1	1	L	mean	1
0.041374	2	8	5	1	1	L	mean	1
0.041390	2	8	6	1	1	L	mean	1
0.041376	2	8	7	1	1	L	mean	1
0.041350	2	8	8	1	1	L	mean	1
0.041343	2	8	9	1	1	L	mean	1
0.041306	2	8	10	1	1	L	mean	1
0.041472	2	9	1	1	1	L	mean	1
0.041538	2	9	2	1	1	L	mean	1
0.041549	2	9	3	1	1	L	mean	1
0.041545	2	9	4	1	1	L	mean	1
0.041536	2	9	5	1	1	L	mean	1
0.041536	2	9	6	1	1	L	mean	1
0.041526	2	9	7	1	1	L	mean	1
0.041513	2	9	8	1	1	L	mean	1
0.041493	2	9	9	1	1	L	mean	1
0.041442	2	9	10	1	1	L	mean	1
0.041684	2	10	1	1	1	L	mean	1
0.041660	2	10	2	1	1	L	mean	1
0.041634	2	10	3	1	1	L	mean	1
0.041632	2	10	4	1	1	L	mean	1
0.041631	2	10	5	1	1	L	mean	1
0.041632	2	10	6	1	1	L	mean	1
0.041648	2	10	7	1	1	L	mean	1
0.041668	2	10	8	1	1	L	mean	1
0.041623	2	10	9	1	1	L	mean	1
0.041628	2	10	10	1	1	L	mean	1
NaN	3	1	1	1	1	L	mean	1
NaN	3	1	2	1	1	L	mean	1
NaN	3	1	3	1	1	L	mean	1
NaN	3	1	4	1	1	L	mean	1
NaN	3	1	5	1	1	L	mean	1
NaN	3	1	6	1	1	L	mean	1
NaN	3	1	7	1	1	L	mean	1
NaN	3	1	8	1	1	L	mean	1
NaN	3	1	9	1	1	L	mean	1
NaN	3	1	10	1	1	L	mean	1
0.058667	3	2	1	1	1	L	mean	1
0.059264	3	2	2	1	1	L	mean	1
0.059237	3	2	3	1	1	L	mean	1
0.058976	3	2	4	1	1	L	mean	1
0.059402	3	2	5	1	1	L	mean	1
0.059227	3	2	6	1	1	L	mean	1
0.059233	3	2	7	1	1	L	mean	1
0.059165	3	2	8	1	1	L	mean	1
0.059957	3	2	9	1	1	L	mean	1
NaN	3	2	10	1	1	L	mean	1
0.057717	3	3	1	1	1	L	mean	1
0.057722	3	3	2	1	1	L	mean	1
