tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity
NaN	1	1	1	1	1	L	sigma	3
NaN	1	1	2	1	1	L	sigma	3
NaN	1	1	3	1	1	L	sigma	3
NaN	1	1	4	1	1	L	sigma	3
0.002890	1	1	5	1	1	L	sigma	3
0.002769	1	1	6	1	1	L	sigma	3
0.002844	1	1	7	1	1	L	sigma	3
0.002867	1	1	8	1	1	L	sigma	3
0.002697	1	1	9	1	1	L	sigma	3
0.002764	1	1	10	1	1	L	sigma	3
NaN	1	2	1	1	1	L	sigma	3
NaN	1	2	2	1	1	L	sigma	3
0.002711	1	2	3	1	1	L	sigma	3
0.002806	1	2	4	1	1	L	sigma	3
0.002819	1	2	5	1	1	L	sigma	3
0.002782	1	2	6	1	1	L	sigma	3
0.002809	1	2	7	1	1	L	sigma	3
0.002818	1	2	8	1	1	L	sigma	3
0.002818	1	2	9	1	1	L	sigma	3
0.002846	1	2	10	1	1	L	sigma	3
NaN	1	3	1	1	1	L	sigma	3
0.002774	1	3	2	1	1	L	sigma	3
0.002801	1	3	3	1	1	L	sigma	3
0.002799	1	3	4	1	1	L	sigma	3
0.002847	1	3	5	1	1	L	sigma	3
0.002821	1	3	6	1	1	L	sigma	3
0.002844	1	3	7	1	1	L	sigma	3
0.002791	1	3	8	1	1	L	sigma	3
0.002824	1	3	9	1	1	L	sigma	3
0.002798	1	3	10	1	1	L	sigma	3
0.002810	1	4	1	1	1	L	sigma	3
0.002937	1	4	2	1	1	L	sigma	3
0.002864	1	4	3	1	1	L	sigma	3
0.002845	1	4	4	1	1	L	sigma	3
0.002821	1	4	5	1	1	L	sigma	3
0.002844	1	4	6	1	1	L	sigma	3
0.002831	1	4	7	1	1	L	sigma	3
0.002839	1	4	8	1	1	L	sigma	3
0.002827	1	4	9	1	1	L	sigma	3
0.002817	1	4	10	1	1	L	sigma	3
0.002810	1	5	1	1	1	L	sigma	3
0.002824	1	5	2	1	1	L	sigma	3
0.002838	1	5	3	1	1	L	sigma	3
0.002823	1	5	4	1	1	L	sigma	3
0.002845	1	5	5	1	1	L	sigma	3
0.002832	1	5	6	1	1	L	sigma	3
0.002837	1	5	7	1	1	L	sigma	3
0.002831	1	5	8	1	1	L	sigma	3
0.002828	1	5	9	1	1	L	sigma	3
0.002833	1	5	10	1	1	L	sigma	3
0.002850	1	6	1	1	1	L	sigma	3
0.002835	1	6	2	1	1	L	sigma	3
0.002843	1	6	3	1	1	L	sigma	3
0.002834	1	6	4	1	1	L	sigma	3
0.002837	1	6	5	1	1	L	sigma	3
0.002835	1	6	6	1	1	L	sigma	3
0.002831	1	6	7	1	1	L	sigma	3
0.002837	1	6	8	1	1	L	sigma	3
0.002835	1	6	9	1	1	L	sigma	3
0.002841	1	6	10	1	1	L	sigma	3
0.002852	1	7	1	1	1	L	sigma	3
0.002858	1	7	2	1	1	L	sigma	3
0.002834	1	7	3	1	1	L	sigma	3
0.002839	1	7	4	1	1	L	sigma	3
0.002830	1	7	5	1	1	L	sigma	3
0.002840	1	7	6	1	1	L	sigma	3
0.002835	1	7	7	1	1	L	sigma	3
0.002834	1	7	8	1	1	L	sigma	3
0.002836	1	7	9	1	1	L	sigma	3
0.002832	1	7	10	1	1	L	sigma	3
0.002902	1	8	1	1	1	L	sigma	3
0.002819	1	8	2	1	1	L	sigma	3
0.002817	1	8	3	1	1	L	sigma	3
0.002844	1	8	4	1	1	L	sigma	3
0.002835	1	8	5	1	1	L	sigma	3
0.002827	1	8	6	1	1	L	sigma	3
0.002834	1	8	7	1	1	L	sigma	3
0.002834	1	8	8	1	1	L	sigma	3
0.002841	1	8	9	1	1	L	sigma	3
0.002833	1	8	10	1	1	L	sigma	3
0.002772	1	9	1	1	1	L	sigma	3
0.002930	1	9	2	1	1	L	sigma	3
0.002829	1	9	3	1	1	L	sigma	3
0.002837	1	9	4	1	1	L	sigma	3
0.002830	1	9	5	1	1	L	sigma	3
0.002827	1	9	6	1	1	L	sigma	3
0.002831	1	9	7	1	1	L	sigma	3
0.002825	1	9	8	1	1	L	sigma	3
0.002823	1	9	9	1	1	L	sigma	3
0.002837	1	9	10	1	1	L	sigma	3
NaN	1	10	1	1	1	L	sigma	3
0.002832	1	10	2	1	1	L	sigma	3
0.002849	1	10	3	1	1	L	sigma	3
0.002861	1	10	4	1	1	L	sigma	3
0.002852	1	10	5	1	1	L	sigma	3
0.002816	1	10	6	1	1	L	sigma	3
0.002821	1	10	7	1	1	L	sigma	3
0.002836	1	10	8	1	1	L	sigma	3
0.002829	1	10	9	1	1	L	sigma	3
0.002827	1	10	10	1	1	L	sigma	3
NaN	2	1	1	1	1	L	sigma	3
NaN	2	1	2	1	1	L	sigma	3
NaN	2	1	3	1	1	L	sigma	3
0.003721	2	1	4	1	1	L	sigma	3
0.003744	2	1	5	1	1	L	sigma	3
0.003840	2	1	6	1	1	L	sigma	3
0.003780	2	1	7	1	1	L	sigma	3
0.003761	2	1	8	1	1	L	sigma	3
0.003834	2	1	9	1	1	L	sigma	3
0.004033	2	1	10	1	1	L	sigma	3
NaN	2	2	1	1	1	L	sigma	3
NaN	2	2	2	1	1	L	sigma	3
0.003983	2	2	3	1	1	L	sigma	3
0.003965	2	2	4	1	1	L	sigma	3
0.003996	2	2	5	1	1	L	sigma	3
0.003964	2	2	6	1	1	L	sigma	3
0.004016	2	2	7	1	1	L	sigma	3
0.003943	2	2	8	1	1	L	sigma	3
0.003983	2	2	9	1	1	L	sigma	3
0.004031	2	2	10	1	1	L	sigma	3
NaN	2	3	1	1	1	L	sigma	3
0.004042	2	3	2	1	1	L	sigma	3
0.003960	2	3	3	1	1	L	sigma	3
0.004045	2	3	4	1	1	L	sigma	3
0.003993	2	3	5	1	1	L	sigma	3
0.003980	2	3	6	1	1	L	sigma	3
0.004013	2	3	7	1	1	L	sigma	3
0.003989	2	3	8	1	1	L	sigma	3
0.003998	2	3	9	1	1	L	sigma	3
0.003978	2	3	10	1	1	L	sigma	3
0.003895	2	4	1	1	1	L	sigma	3
0.003951	2	4	2	1	1	L	sigma	3
0.003958	2	4	3	1	1	L	sigma	3
0.003971	2	4	4	1	1	L	sigma	3
0.003989	2	4	5	1	1	L	sigma	3
0.003961	2	4	6	1	1	L	sigma	3
0.003994	2	4	7	1	1	L	sigma	3
0.003977	2	4	8	1	1	L	sigma	3
0.003984	2	4	9	1	1	L	sigma	3
0.004003	2	4	10	1	1	L	sigma	3
0.003913	2	5	1	1	1	L	sigma	3
0.003958	2	5	2	1	1	L	sigma	3
0.003982	2	5	3	1	1	L	sigma	3
0.003955	2	5	4	1	1	L	sigma	3
0.003968	2	5	5	1	1	L	sigma	3
0.003964	2	5	6	1	1	L	sigma	3
0.003968	2	5	7	1	1	L	sigma	3
0.003965	2	5	8	1	1	L	sigma	3
0.003967	2	5	9	1	1	L	sigma	3
0.003965	2	5	10	1	1	L	sigma	3
0.003985	2	6	1	1	1	L	sigma	3
0.003955	2	6	2	1	1	L	sigma	3
0.003976	2	6	3	1	1	L	sigma	3
0.003977	2	6	4	1	1	L	sigma	3
0.003972	2	6	5	1	1	L	sigma	3
0.003974	2	6	6	1	1	L	sigma	3
0.003969	2	6	7	1	1	L	sigma	3
0.003975	2	6	8	1	1	L	sigma	3
0.003979	2	6	9	1	1	L	sigma	3
0.003978	2	6	10	1	1	L	sigma	3
0.003904	2	7	1	1	1	L	sigma	3
0.003978	2	7	2	1	1	L	sigma	3
0.003974	2	7	3	1	1	L	sigma	3
0.003968	2	7	4	1	1	L	sigma	3
0.003967	2	7	5	1	1	L	sigma	3
0.003973	2	7	6	1	1	L	sigma	3
0.003971	2	7	7	1	1	L	sigma	3
0.003972	2	7	8	1	1	L	sigma	3
0.003972	2	7	9	1	1	L	sigma	3
0.003976	2	7	10	1	1	L	sigma	3
0.003958	2	8	1	1	1	L	sigma	3
0.003982	2	8	2	1	1	L	sigma	3
0.004001	2	8	3	1	1	L	sigma	3
0.003985	2	8	4	1	1	L	sigma	3
0.003973	2	8	5	1	1	L	sigma	3
