tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity	N
NaN	1	1	1	1	1	tMatch	mean	1	0
NaN	1	1	2	1	1	tMatch	mean	1	1
NaN	1	1	3	1	1	tMatch	mean	1	0
NaN	1	1	4	1	1	tMatch	mean	1	0
NaN	1	1	5	1	1	tMatch	mean	1	1
NaN	1	1	6	1	1	tMatch	mean	1	0
NaN	1	1	7	1	1	tMatch	mean	1	0
NaN	1	1	8	1	1	tMatch	mean	1	0
NaN	1	1	9	1	1	tMatch	mean	1	0
NaN	1	1	10	1	1	tMatch	mean	1	0
NaN	1	2	1	1	1	tMatch	mean	1	33
NaN	1	2	2	1	1	tMatch	mean	1	48
NaN	1	2	3	1	1	tMatch	mean	1	99
NaN	1	2	4	1	1	tMatch	mean	1	98
NaN	1	2	5	1	1	tMatch	mean	1	115
NaN	1	2	6	1	1	tMatch	mean	1	120
NaN	1	2	7	1	1	tMatch	mean	1	77
NaN	1	2	8	1	1	tMatch	mean	1	49
NaN	1	2	9	1	1	tMatch	mean	1	16
NaN	1	2	10	1	1	tMatch	mean	1	2
NaN	1	3	1	1	1	tMatch	mean	1	192
-0.000066	1	3	2	1	1	tMatch	mean	1	384
0.000049	1	3	3	1	1	tMatch	mean	1	602
0.000172	1	3	4	1	1	tMatch	mean	1	918
0.000190	1	3	5	1	1	tMatch	mean	1	1171
0.000233	1	3	6	1	1	tMatch	mean	1	1178
0.000186	1	3	7	1	1	tMatch	mean	1	1100
0.000322	1	3	8	1	1	tMatch	mean	1	874
0.000017	1	3	9	1	1	tMatch	mean	1	611
-0.000969	1	3	10	1	1	tMatch	mean	1	321
-0.000261	1	4	1	1	1	tMatch	mean	1	608
-0.000001	1	4	2	1	1	tMatch	mean	1	1109
-0.000128	1	4	3	1	1	tMatch	mean	1	1993
0.000012	1	4	4	1	1	tMatch	mean	1	3224
-0.000286	1	4	5	1	1	tMatch	mean	1	4377
0.000046	1	4	6	1	1	tMatch	mean	1	4950
-0.000085	1	4	7	1	1	tMatch	mean	1	4760
0.000082	1	4	8	1	1	tMatch	mean	1	3990
0.000218	1	4	9	1	1	tMatch	mean	1	3203
-0.000441	1	4	10	1	1	tMatch	mean	1	2169
0.000257	1	5	1	1	1	tMatch	mean	1	1236
-0.000015	1	5	2	1	1	tMatch	mean	1	3356
0.000195	1	5	3	1	1	tMatch	mean	1	7187
0.000132	1	5	4	1	1	tMatch	mean	1	12635
0.000105	1	5	5	1	1	tMatch	mean	1	18453
0.000055	1	5	6	1	1	tMatch	mean	1	21480
0.000110	1	5	7	1	1	tMatch	mean	1	20306
-0.000011	1	5	8	1	1	tMatch	mean	1	16694
-0.000059	1	5	9	1	1	tMatch	mean	1	12047
-0.000164	1	5	10	1	1	tMatch	mean	1	8054
0.000066	1	6	1	1	1	tMatch	mean	1	3715
0.000208	1	6	2	1	1	tMatch	mean	1	10627
0.000165	1	6	3	1	1	tMatch	mean	1	24171
0.000219	1	6	4	1	1	tMatch	mean	1	44861
0.000198	1	6	5	1	1	tMatch	mean	1	68006
0.000136	1	6	6	1	1	tMatch	mean	1	80140
0.000143	1	6	7	1	1	tMatch	mean	1	75728
0.000186	1	6	8	1	1	tMatch	mean	1	62036
0.000243	1	6	9	1	1	tMatch	mean	1	43288
0.000038	1	6	10	1	1	tMatch	mean	1	25952
0.000162	1	7	1	1	1	tMatch	mean	1	6695
0.000110	1	7	2	1	1	tMatch	mean	1	18313
0.000292	1	7	3	1	1	tMatch	mean	1	42162
0.000202	1	7	4	1	1	tMatch	mean	1	80703
0.000256	1	7	5	1	1	tMatch	mean	1	125729
0.000076	1	7	6	1	1	tMatch	mean	1	154732
-0.000009	1	7	7	1	1	tMatch	mean	1	152848
-0.000200	1	7	8	1	1	tMatch	mean	1	128415
-0.000102	1	7	9	1	1	tMatch	mean	1	95897
-0.000700	1	7	10	1	1	tMatch	mean	1	59946
0.000331	1	8	1	1	1	tMatch	mean	1	8119
0.000375	1	8	2	1	1	tMatch	mean	1	20554
0.000375	1	8	3	1	1	tMatch	mean	1	46220
0.000388	1	8	4	1	1	tMatch	mean	1	87877
0.000225	1	8	5	1	1	tMatch	mean	1	138453
0.000078	1	8	6	1	1	tMatch	mean	1	171514
-0.000100	1	8	7	1	1	tMatch	mean	1	171423
-0.000309	1	8	8	1	1	tMatch	mean	1	149516
-0.000631	1	8	9	1	1	tMatch	mean	1	115404
-0.001099	1	8	10	1	1	tMatch	mean	1	77414
0.000335	1	9	1	1	1	tMatch	mean	1	5691
0.000739	1	9	2	1	1	tMatch	mean	1	14176
0.000980	1	9	3	1	1	tMatch	mean	1	32683
0.000633	1	9	4	1	1	tMatch	mean	1	63575
0.000677	1	9	5	1	1	tMatch	mean	1	100829
0.000151	1	9	6	1	1	tMatch	mean	1	125041
-0.000132	1	9	7	1	1	tMatch	mean	1	125042
-0.000557	1	9	8	1	1	tMatch	mean	1	108970
-0.000751	1	9	9	1	1	tMatch	mean	1	84713
-0.001081	1	9	10	1	1	tMatch	mean	1	57071
0.000088	1	10	1	1	1	tMatch	mean	1	2318
0.002103	1	10	2	1	1	tMatch	mean	1	6205
0.002370	1	10	3	1	1	tMatch	mean	1	15704
0.001462	1	10	4	1	1	tMatch	mean	1	32720
0.000947	1	10	5	1	1	tMatch	mean	1	52265
0.000365	1	10	6	1	1	tMatch	mean	1	65727
-0.000698	1	10	7	1	1	tMatch	mean	1	66866
0.000102	1	10	8	1	1	tMatch	mean	1	56907
0.000117	1	10	9	1	1	tMatch	mean	1	42293
0.001794	1	10	10	1	1	tMatch	mean	1	27033
NaN	2	1	1	1	1	tMatch	mean	1	4
NaN	2	1	2	1	1	tMatch	mean	1	10
NaN	2	1	3	1	1	tMatch	mean	1	5
NaN	2	1	4	1	1	tMatch	mean	1	13
NaN	2	1	5	1	1	tMatch	mean	1	11
NaN	2	1	6	1	1	tMatch	mean	1	3
NaN	2	1	7	1	1	tMatch	mean	1	1
NaN	2	1	8	1	1	tMatch	mean	1	0
NaN	2	1	9	1	1	tMatch	mean	1	0
NaN	2	1	10	1	1	tMatch	mean	1	0
NaN	2	2	1	1	1	tMatch	mean	1	99
NaN	2	2	2	1	1	tMatch	mean	1	189
0.000067	2	2	3	1	1	tMatch	mean	1	241
-0.000163	2	2	4	1	1	tMatch	mean	1	414
0.000268	2	2	5	1	1	tMatch	mean	1	470
-0.000007	2	2	6	1	1	tMatch	mean	1	437
0.000173	2	2	7	1	1	tMatch	mean	1	339
-0.001624	2	2	8	1	1	tMatch	mean	1	234
NaN	2	2	9	1	1	tMatch	mean	1	122
NaN	2	2	10	1	1	tMatch	mean	1	30
0.000147	2	3	1	1	1	tMatch	mean	1	406
-0.000001	2	3	2	1	1	tMatch	mean	1	696
0.000097	2	3	3	1	1	tMatch	mean	1	1272
0.000001	2	3	4	1	1	tMatch	mean	1	1850
0.000102	2	3	5	1	1	tMatch	mean	1	2414
-0.000084	2	3	6	1	1	tMatch	mean	1	2615
0.000239	2	3	7	1	1	tMatch	mean	1	2399
0.000191	2	3	8	1	1	tMatch	mean	1	2068
-0.000930	2	3	9	1	1	tMatch	mean	1	1462
-0.000326	2	3	10	1	1	tMatch	mean	1	857
-0.000023	2	4	1	1	1	tMatch	mean	1	538
0.000011	2	4	2	1	1	tMatch	mean	1	1208
-0.000060	2	4	3	1	1	tMatch	mean	1	2495
0.000184	2	4	4	1	1	tMatch	mean	1	4308
0.000071	2	4	5	1	1	tMatch	mean	1	6567
0.000174	2	4	6	1	1	tMatch	mean	1	7888
-0.000010	2	4	7	1	1	tMatch	mean	1	7914
0.000152	2	4	8	1	1	tMatch	mean	1	6935
0.000263	2	4	9	1	1	tMatch	mean	1	5737
-0.000277	2	4	10	1	1	tMatch	mean	1	4079
0.000069	2	5	1	1	1	tMatch	mean	1	1482
-0.000021	2	5	2	1	1	tMatch	mean	1	3890
0.000119	2	5	3	1	1	tMatch	mean	1	8500
0.000057	2	5	4	1	1	tMatch	mean	1	15418
0.000151	2	5	5	1	1	tMatch	mean	1	23176
0.000185	2	5	6	1	1	tMatch	mean	1	27845
0.000077	2	5	7	1	1	tMatch	mean	1	26418
-0.000157	2	5	8	1	1	tMatch	mean	1	22452
0.000029	2	5	9	1	1	tMatch	mean	1	17374
-0.000112	2	5	10	1	1	tMatch	mean	1	12253
0.000067	2	6	1	1	1	tMatch	mean	1	4603
0.000170	2	6	2	1	1	tMatch	mean	1	12971
0.000145	2	6	3	1	1	tMatch	mean	1	29808
0.000111	2	6	4	1	1	tMatch	mean	1	56702
0.000031	2	6	5	1	1	tMatch	mean	1	85713
0.000143	2	6	6	1	1	tMatch	mean	1	101862
0.000140	2	6	7	1	1	tMatch	mean	1	97311
-0.000069	2	6	8	1	1	tMatch	mean	1	79684
-0.000436	2	6	9	1	1	tMatch	mean	1	57218
0.000029	2	6	10	1	1	tMatch	mean	1	34971
0.000350	2	7	1	1	1	tMatch	mean	1	9119
0.000253	2	7	2	1	1	tMatch	mean	1	24447
0.000323	2	7	3	1	1	tMatch	mean	1	54975
0.000153	2	7	4	1	1	tMatch	mean	1	104554
0.000179	2	7	5	1	1	tMatch	mean	1	164367
0.000196	2	7	6	1	1	tMatch	mean	1	201882
0.000028	2	7	7	1	1	tMatch	mean	1	198794
-0.000265	2	7	8	1	1	tMatch	mean	1	166821
-0.000250	2	7	9	1	1	tMatch	mean	1	123402
0.000175	2	7	10	1	1	tMatch	mean	1	77214
0.000384	2	8	1	1	1	tMatch	mean	1	11491
0.000567	2	8	2	1	1	tMatch	mean	1	29739
