tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity	N
NaN	1	1	1	1	1	tMatch	sigma	1	0
NaN	1	1	2	1	1	tMatch	sigma	1	1
NaN	1	1	3	1	1	tMatch	sigma	1	0
NaN	1	1	4	1	1	tMatch	sigma	1	0
NaN	1	1	5	1	1	tMatch	sigma	1	1
NaN	1	1	6	1	1	tMatch	sigma	1	0
NaN	1	1	7	1	1	tMatch	sigma	1	0
NaN	1	1	8	1	1	tMatch	sigma	1	0
NaN	1	1	9	1	1	tMatch	sigma	1	0
NaN	1	1	10	1	1	tMatch	sigma	1	0
NaN	1	2	1	1	1	tMatch	sigma	1	33
NaN	1	2	2	1	1	tMatch	sigma	1	48
NaN	1	2	3	1	1	tMatch	sigma	1	99
NaN	1	2	4	1	1	tMatch	sigma	1	98
NaN	1	2	5	1	1	tMatch	sigma	1	115
NaN	1	2	6	1	1	tMatch	sigma	1	120
NaN	1	2	7	1	1	tMatch	sigma	1	77
NaN	1	2	8	1	1	tMatch	sigma	1	49
NaN	1	2	9	1	1	tMatch	sigma	1	16
NaN	1	2	10	1	1	tMatch	sigma	1	2
NaN	1	3	1	1	1	tMatch	sigma	1	192
3.308942	1	3	2	1	1	tMatch	sigma	1	384
3.827462	1	3	3	1	1	tMatch	sigma	1	602
4.580068	1	3	4	1	1	tMatch	sigma	1	918
5.793871	1	3	5	1	1	tMatch	sigma	1	1171
7.302720	1	3	6	1	1	tMatch	sigma	1	1178
8.952297	1	3	7	1	1	tMatch	sigma	1	1100
11.122974	1	3	8	1	1	tMatch	sigma	1	874
13.553763	1	3	9	1	1	tMatch	sigma	1	611
16.851585	1	3	10	1	1	tMatch	sigma	1	321
3.818752	1	4	1	1	1	tMatch	sigma	1	608
4.497591	1	4	2	1	1	tMatch	sigma	1	1109
5.277301	1	4	3	1	1	tMatch	sigma	1	1993
6.280248	1	4	4	1	1	tMatch	sigma	1	3224
7.645313	1	4	5	1	1	tMatch	sigma	1	4377
9.860185	1	4	6	1	1	tMatch	sigma	1	4950
12.321925	1	4	7	1	1	tMatch	sigma	1	4760
15.248128	1	4	8	1	1	tMatch	sigma	1	3990
18.659271	1	4	9	1	1	tMatch	sigma	1	3203
22.612156	1	4	10	1	1	tMatch	sigma	1	2169
5.134352	1	5	1	1	1	tMatch	sigma	1	1236
5.951754	1	5	2	1	1	tMatch	sigma	1	3356
6.989944	1	5	3	1	1	tMatch	sigma	1	7187
8.520786	1	5	4	1	1	tMatch	sigma	1	12635
10.506792	1	5	5	1	1	tMatch	sigma	1	18453
13.398021	1	5	6	1	1	tMatch	sigma	1	21480
17.115102	1	5	7	1	1	tMatch	sigma	1	20306
21.592545	1	5	8	1	1	tMatch	sigma	1	16694
26.529400	1	5	9	1	1	tMatch	sigma	1	12047
32.541847	1	5	10	1	1	tMatch	sigma	1	8054
7.078792	1	6	1	1	1	tMatch	sigma	1	3715
8.228603	1	6	2	1	1	tMatch	sigma	1	10627
9.937184	1	6	3	1	1	tMatch	sigma	1	24171
12.066792	1	6	4	1	1	tMatch	sigma	1	44861
15.044628	1	6	5	1	1	tMatch	sigma	1	68006
19.255256	1	6	6	1	1	tMatch	sigma	1	80140
24.815012	1	6	7	1	1	tMatch	sigma	1	75728
31.448561	1	6	8	1	1	tMatch	sigma	1	62036
39.091213	1	6	9	1	1	tMatch	sigma	1	43288
47.749521	1	6	10	1	1	tMatch	sigma	1	25952
10.805111	1	7	1	1	1	tMatch	sigma	1	6695
12.414092	1	7	2	1	1	tMatch	sigma	1	18313
14.585323	1	7	3	1	1	tMatch	sigma	1	42162
17.563714	1	7	4	1	1	tMatch	sigma	1	80703
21.794747	1	7	5	1	1	tMatch	sigma	1	125729
27.689894	1	7	6	1	1	tMatch	sigma	1	154732
35.660633	1	7	7	1	1	tMatch	sigma	1	152848
45.066623	1	7	8	1	1	tMatch	sigma	1	128415
56.147376	1	7	9	1	1	tMatch	sigma	1	95897
69.069907	1	7	10	1	1	tMatch	sigma	1	59946
16.331094	1	8	1	1	1	tMatch	sigma	1	8119
18.830484	1	8	2	1	1	tMatch	sigma	1	20554
21.615898	1	8	3	1	1	tMatch	sigma	1	46220
26.020609	1	8	4	1	1	tMatch	sigma	1	87877
31.983587	1	8	5	1	1	tMatch	sigma	1	138453
40.586822	1	8	6	1	1	tMatch	sigma	1	171514
52.122451	1	8	7	1	1	tMatch	sigma	1	171423
65.652006	1	8	8	1	1	tMatch	sigma	1	149516
81.179172	1	8	9	1	1	tMatch	sigma	1	115404
99.651501	1	8	10	1	1	tMatch	sigma	1	77414
24.275621	1	9	1	1	1	tMatch	sigma	1	5691
27.472001	1	9	2	1	1	tMatch	sigma	1	14176
31.524741	1	9	3	1	1	tMatch	sigma	1	32683
37.870458	1	9	4	1	1	tMatch	sigma	1	63575
47.024901	1	9	5	1	1	tMatch	sigma	1	100829
59.966385	1	9	6	1	1	tMatch	sigma	1	125041
76.390443	1	9	7	1	1	tMatch	sigma	1	125042
95.838126	1	9	8	1	1	tMatch	sigma	1	108970
117.415609	1	9	9	1	1	tMatch	sigma	1	84713
143.373479	1	9	10	1	1	tMatch	sigma	1	57071
37.352172	1	10	1	1	1	tMatch	sigma	1	2318
39.478236	1	10	2	1	1	tMatch	sigma	1	6205
45.459850	1	10	3	1	1	tMatch	sigma	1	15704
54.548210	1	10	4	1	1	tMatch	sigma	1	32720
68.828084	1	10	5	1	1	tMatch	sigma	1	52265
87.993043	1	10	6	1	1	tMatch	sigma	1	65727
111.423103	1	10	7	1	1	tMatch	sigma	1	66866
138.264724	1	10	8	1	1	tMatch	sigma	1	56907
167.489680	1	10	9	1	1	tMatch	sigma	1	42293
200.493232	1	10	10	1	1	tMatch	sigma	1	27033
NaN	2	1	1	1	1	tMatch	sigma	1	4
NaN	2	1	2	1	1	tMatch	sigma	1	10
NaN	2	1	3	1	1	tMatch	sigma	1	5
NaN	2	1	4	1	1	tMatch	sigma	1	13
NaN	2	1	5	1	1	tMatch	sigma	1	11
NaN	2	1	6	1	1	tMatch	sigma	1	3
NaN	2	1	7	1	1	tMatch	sigma	1	1
NaN	2	1	8	1	1	tMatch	sigma	1	0
NaN	2	1	9	1	1	tMatch	sigma	1	0
NaN	2	1	10	1	1	tMatch	sigma	1	0
NaN	2	2	1	1	1	tMatch	sigma	1	99
NaN	2	2	2	1	1	tMatch	sigma	1	189
3.728486	2	2	3	1	1	tMatch	sigma	1	241
4.442437	2	2	4	1	1	tMatch	sigma	1	414
5.593498	2	2	5	1	1	tMatch	sigma	1	470
7.414914	2	2	6	1	1	tMatch	sigma	1	437
9.228440	2	2	7	1	1	tMatch	sigma	1	339
11.329110	2	2	8	1	1	tMatch	sigma	1	234
NaN	2	2	9	1	1	tMatch	sigma	1	122
NaN	2	2	10	1	1	tMatch	sigma	1	30
3.504397	2	3	1	1	1	tMatch	sigma	1	406
4.377842	2	3	2	1	1	tMatch	sigma	1	696
5.118764	2	3	3	1	1	tMatch	sigma	1	1272
6.220730	2	3	4	1	1	tMatch	sigma	1	1850
7.611957	2	3	5	1	1	tMatch	sigma	1	2414
9.743021	2	3	6	1	1	tMatch	sigma	1	2615
12.288180	2	3	7	1	1	tMatch	sigma	1	2399
15.305195	2	3	8	1	1	tMatch	sigma	1	2068
18.527173	2	3	9	1	1	tMatch	sigma	1	1462
22.882672	2	3	10	1	1	tMatch	sigma	1	857
5.156902	2	4	1	1	1	tMatch	sigma	1	538
5.911925	2	4	2	1	1	tMatch	sigma	1	1208
6.735397	2	4	3	1	1	tMatch	sigma	1	2495
8.113376	2	4	4	1	1	tMatch	sigma	1	4308
10.019628	2	4	5	1	1	tMatch	sigma	1	6567
12.914978	2	4	6	1	1	tMatch	sigma	1	7888
16.531643	2	4	7	1	1	tMatch	sigma	1	7914
20.633204	2	4	8	1	1	tMatch	sigma	1	6935
25.475386	2	4	9	1	1	tMatch	sigma	1	5737
31.316064	2	4	10	1	1	tMatch	sigma	1	4079
7.061413	2	5	1	1	1	tMatch	sigma	1	1482
8.222923	2	5	2	1	1	tMatch	sigma	1	3890
9.689116	2	5	3	1	1	tMatch	sigma	1	8500
11.834980	2	5	4	1	1	tMatch	sigma	1	15418
14.602800	2	5	5	1	1	tMatch	sigma	1	23176
18.466257	2	5	6	1	1	tMatch	sigma	1	27845
23.644538	2	5	7	1	1	tMatch	sigma	1	26418
29.878111	2	5	8	1	1	tMatch	sigma	1	22452
36.729324	2	5	9	1	1	tMatch	sigma	1	17374
45.007300	2	5	10	1	1	tMatch	sigma	1	12253
9.928936	2	6	1	1	1	tMatch	sigma	1	4603
11.682795	2	6	2	1	1	tMatch	sigma	1	12971
13.843187	2	6	3	1	1	tMatch	sigma	1	29808
16.886488	2	6	4	1	1	tMatch	sigma	1	56702
20.994416	2	6	5	1	1	tMatch	sigma	1	85713
26.865497	2	6	6	1	1	tMatch	sigma	1	101862
34.457401	2	6	7	1	1	tMatch	sigma	1	97311
43.813589	2	6	8	1	1	tMatch	sigma	1	79684
54.224030	2	6	9	1	1	tMatch	sigma	1	57218
66.325210	2	6	10	1	1	tMatch	sigma	1	34971
15.220522	2	7	1	1	1	tMatch	sigma	1	9119
17.400080	2	7	2	1	1	tMatch	sigma	1	24447
20.533077	2	7	3	1	1	tMatch	sigma	1	54975
24.629875	2	7	4	1	1	tMatch	sigma	1	104554
30.436751	2	7	5	1	1	tMatch	sigma	1	164367
38.655362	2	7	6	1	1	tMatch	sigma	1	201882
49.808636	2	7	7	1	1	tMatch	sigma	1	198794
63.152594	2	7	8	1	1	tMatch	sigma	1	166821
78.643622	2	7	9	1	1	tMatch	sigma	1	123402
96.432290	2	7	10	1	1	tMatch	sigma	1	77214
22.969244	2	8	1	1	1	tMatch	sigma	1	11491
25.903000	2	8	2	1	1	tMatch	sigma	1	29739
30.446429	2	8	3	1	1	tMatch	sigma	1	66405
36.280259	2	8	4	1	1	tMatch	sigma	1	125444
44.902898	2	8	5	1	1	tMatch	sigma	1	194424
56.839973	2	8	6	1	1	tMatch	sigma	1	240446
72.993458	2	8	7	1	1	tMatch	sigma	1	239234
92.233899	2	8	8	1	1	tMatch	sigma	1	203546
114.155444	2	8	9	1	1	tMatch	sigma	1	155583
140.035472	2	8	10	1	1	tMatch	sigma	1	100375
34.311268	2	9	1	1	1	tMatch	sigma	1	9297
38.266768	2	9	2	1	1	tMatch	sigma	1	23151
44.174987	2	9	3	1	1	tMatch	sigma	1	53311
52.959877	2	9	4	1	1	tMatch	sigma	1	103282
65.846792	2	9	5	1	1	tMatch	sigma	1	162342
83.805026	2	9	6	1	1	tMatch	sigma	1	200512
107.096167	2	9	7	1	1	tMatch	sigma	1	200374
134.482366	2	9	8	1	1	tMatch	sigma	1	171997
165.863105	2	9	9	1	1	tMatch	sigma	1	130447
201.971991	2	9	10	1	1	tMatch	sigma	1	83517
51.672541	2	10	1	1	1	tMatch	sigma	1	4403
56.004290	2	10	2	1	1	tMatch	sigma	1	11506
63.548922	2	10	3	1	1	tMatch	sigma	1	28085
77.159317	2	10	4	1	1	tMatch	sigma	1	57637
96.397735	2	10	5	1	1	tMatch	sigma	1	93069
122.770447	2	10	6	1	1	tMatch	sigma	1	117149
155.799479	2	10	7	1	1	tMatch	sigma	1	120151
194.430296	2	10	8	1	1	tMatch	sigma	1	102064
237.491196	2	10	9	1	1	tMatch	sigma	1	74959
284.659621	2	10	10	1	1	tMatch	sigma	1	46273
NaN	3	1	1	1	1	tMatch	sigma	1	30
NaN	3	1	2	1	1	tMatch	sigma	1	64
NaN	3	1	3	1	1	tMatch	sigma	1	86
NaN	3	1	4	1	1	tMatch	sigma	1	102
NaN	3	1	5	1	1	tMatch	sigma	1	78
NaN	3	1	6	1	1	tMatch	sigma	1	63
NaN	3	1	7	1	1	tMatch	sigma	1	58
NaN	3	1	8	1	1	tMatch	sigma	1	22
NaN	3	1	9	1	1	tMatch	sigma	1	2
NaN	3	1	10	1	1	tMatch	sigma	1	0
3.455132	3	2	1	1	1	tMatch	sigma	1	255
4.441137	3	2	2	1	1	tMatch	sigma	1	419
5.181931	3	2	3	1	1	tMatch	sigma	1	707
