tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity
0.000019	1	1	1	1	1	tMatch	sigma	5
0.000023	1	1	2	1	1	tMatch	sigma	5
0.000025	1	1	3	1	1	tMatch	sigma	5
0.000028	1	1	4	1	1	tMatch	sigma	5
0.000036	1	1	5	1	1	tMatch	sigma	5
0.000047	1	1	6	1	1	tMatch	sigma	5
0.000059	1	1	7	1	1	tMatch	sigma	5
0.000073	1	1	8	1	1	tMatch	sigma	5
0.000088	1	1	9	1	1	tMatch	sigma	5
0.000108	1	1	10	1	1	tMatch	sigma	5
0.000029	1	2	1	1	1	tMatch	sigma	5
0.000032	1	2	2	1	1	tMatch	sigma	5
0.000036	1	2	3	1	1	tMatch	sigma	5
0.000039	1	2	4	1	1	tMatch	sigma	5
0.000053	1	2	5	1	1	tMatch	sigma	5
0.000070	1	2	6	1	1	tMatch	sigma	5
0.000089	1	2	7	1	1	tMatch	sigma	5
0.000111	1	2	8	1	1	tMatch	sigma	5
0.000134	1	2	9	1	1	tMatch	sigma	5
0.000163	1	2	10	1	1	tMatch	sigma	5
0.000041	1	3	1	1	1	tMatch	sigma	5
0.000047	1	3	2	1	1	tMatch	sigma	5
0.000048	1	3	3	1	1	tMatch	sigma	5
0.000054	1	3	4	1	1	tMatch	sigma	5
0.000078	1	3	5	1	1	tMatch	sigma	5
0.000107	1	3	6	1	1	tMatch	sigma	5
0.000138	1	3	7	1	1	tMatch	sigma	5
0.000171	1	3	8	1	1	tMatch	sigma	5
0.000205	1	3	9	1	1	tMatch	sigma	5
0.000246	1	3	10	1	1	tMatch	sigma	5
0.000060	1	4	1	1	1	tMatch	sigma	5
0.000070	1	4	2	1	1	tMatch	sigma	5
0.000064	1	4	3	1	1	tMatch	sigma	5
0.000074	1	4	4	1	1	tMatch	sigma	5
0.000115	1	4	5	1	1	tMatch	sigma	5
0.000162	1	4	6	1	1	tMatch	sigma	5
0.000211	1	4	7	1	1	tMatch	sigma	5
0.000261	1	4	8	1	1	tMatch	sigma	5
0.000312	1	4	9	1	1	tMatch	sigma	5
0.000369	1	4	10	1	1	tMatch	sigma	5
0.000085	1	5	1	1	1	tMatch	sigma	5
0.000095	1	5	2	1	1	tMatch	sigma	5
0.000086	1	5	3	1	1	tMatch	sigma	5
0.000104	1	5	4	1	1	tMatch	sigma	5
0.000171	1	5	5	1	1	tMatch	sigma	5
0.000245	1	5	6	1	1	tMatch	sigma	5
0.000320	1	5	7	1	1	tMatch	sigma	5
0.000396	1	5	8	1	1	tMatch	sigma	5
0.000471	1	5	9	1	1	tMatch	sigma	5
0.000549	1	5	10	1	1	tMatch	sigma	5
0.000125	1	6	1	1	1	tMatch	sigma	5
0.000134	1	6	2	1	1	tMatch	sigma	5
0.000114	1	6	3	1	1	tMatch	sigma	5
0.000150	1	6	4	1	1	tMatch	sigma	5
0.000255	1	6	5	1	1	tMatch	sigma	5
0.000371	1	6	6	1	1	tMatch	sigma	5
0.000485	1	6	7	1	1	tMatch	sigma	5
0.000601	1	6	8	1	1	tMatch	sigma	5
0.000703	1	6	9	1	1	tMatch	sigma	5
0.000814	1	6	10	1	1	tMatch	sigma	5
0.000169	1	7	1	1	1	tMatch	sigma	5
0.000189	1	7	2	1	1	tMatch	sigma	5
0.000151	1	7	3	1	1	tMatch	sigma	5
0.000218	1	7	4	1	1	tMatch	sigma	5
0.000381	1	7	5	1	1	tMatch	sigma	5
0.000558	1	7	6	1	1	tMatch	sigma	5
0.000733	1	7	7	1	1	tMatch	sigma	5
0.000898	1	7	8	1	1	tMatch	sigma	5
0.001046	1	7	9	1	1	tMatch	sigma	5
0.001191	1	7	10	1	1	tMatch	sigma	5
NaN	1	8	1	1	1	tMatch	sigma	5
0.000266	1	8	2	1	1	tMatch	sigma	5
0.000191	1	8	3	1	1	tMatch	sigma	5
0.000318	1	8	4	1	1	tMatch	sigma	5
0.000564	1	8	5	1	1	tMatch	sigma	5
0.000832	1	8	6	1	1	tMatch	sigma	5
0.001098	1	8	7	1	1	tMatch	sigma	5
0.001327	1	8	8	1	1	tMatch	sigma	5
0.001530	1	8	9	1	1	tMatch	sigma	5
0.001732	1	8	10	1	1	tMatch	sigma	5
NaN	1	9	1	1	1	tMatch	sigma	5
NaN	1	9	2	1	1	tMatch	sigma	5
0.000256	1	9	3	1	1	tMatch	sigma	5
0.000469	1	9	4	1	1	tMatch	sigma	5
0.000837	1	9	5	1	1	tMatch	sigma	5
0.001233	1	9	6	1	1	tMatch	sigma	5
0.001601	1	9	7	1	1	tMatch	sigma	5
0.001929	1	9	8	1	1	tMatch	sigma	5
0.002201	1	9	9	1	1	tMatch	sigma	5
0.002475	1	9	10	1	1	tMatch	sigma	5
NaN	1	10	1	1	1	tMatch	sigma	5
NaN	1	10	2	1	1	tMatch	sigma	5
0.000339	1	10	3	1	1	tMatch	sigma	5
0.000696	1	10	4	1	1	tMatch	sigma	5
0.001240	1	10	5	1	1	tMatch	sigma	5
0.001813	1	10	6	1	1	tMatch	sigma	5
0.002321	1	10	7	1	1	tMatch	sigma	5
0.002702	1	10	8	1	1	tMatch	sigma	5
0.003087	1	10	9	1	1	tMatch	sigma	5
0.003417	1	10	10	1	1	tMatch	sigma	5
0.000027	2	1	1	1	1	tMatch	sigma	5
0.000031	2	1	2	1	1	tMatch	sigma	5
0.000036	2	1	3	1	1	tMatch	sigma	5
0.000040	2	1	4	1	1	tMatch	sigma	5
0.000050	2	1	5	1	1	tMatch	sigma	5
0.000064	2	1	6	1	1	tMatch	sigma	5
0.000081	2	1	7	1	1	tMatch	sigma	5
0.000101	2	1	8	1	1	tMatch	sigma	5
0.000122	2	1	9	1	1	tMatch	sigma	5
0.000150	2	1	10	1	1	tMatch	sigma	5
0.000039	2	2	1	1	1	tMatch	sigma	5
0.000046	2	2	2	1	1	tMatch	sigma	5
0.000049	2	2	3	1	1	tMatch	sigma	5
0.000054	2	2	4	1	1	tMatch	sigma	5
0.000074	2	2	5	1	1	tMatch	sigma	5
0.000097	2	2	6	1	1	tMatch	sigma	5
0.000125	2	2	7	1	1	tMatch	sigma	5
0.000155	2	2	8	1	1	tMatch	sigma	5
0.000187	2	2	9	1	1	tMatch	sigma	5
0.000227	2	2	10	1	1	tMatch	sigma	5
0.000057	2	3	1	1	1	tMatch	sigma	5
0.000067	2	3	2	1	1	tMatch	sigma	5
0.000069	2	3	3	1	1	tMatch	sigma	5
0.000074	2	3	4	1	1	tMatch	sigma	5
0.000108	2	3	5	1	1	tMatch	sigma	5
0.000149	2	3	6	1	1	tMatch	sigma	5
0.000191	2	3	7	1	1	tMatch	sigma	5
0.000238	2	3	8	1	1	tMatch	sigma	5
0.000286	2	3	9	1	1	tMatch	sigma	5
0.000343	2	3	10	1	1	tMatch	sigma	5
0.000083	2	4	1	1	1	tMatch	sigma	5
0.000096	2	4	2	1	1	tMatch	sigma	5
0.000090	2	4	3	1	1	tMatch	sigma	5
0.000103	2	4	4	1	1	tMatch	sigma	5
0.000160	2	4	5	1	1	tMatch	sigma	5
0.000225	2	4	6	1	1	tMatch	sigma	5
0.000292	2	4	7	1	1	tMatch	sigma	5
0.000363	2	4	8	1	1	tMatch	sigma	5
0.000434	2	4	9	1	1	tMatch	sigma	5
0.000514	2	4	10	1	1	tMatch	sigma	5
0.000124	2	5	1	1	1	tMatch	sigma	5
0.000137	2	5	2	1	1	tMatch	sigma	5
0.000121	2	5	3	1	1	tMatch	sigma	5
0.000145	2	5	4	1	1	tMatch	sigma	5
0.000238	2	5	5	1	1	tMatch	sigma	5
0.000340	2	5	6	1	1	tMatch	sigma	5
0.000445	2	5	7	1	1	tMatch	sigma	5
0.000552	2	5	8	1	1	tMatch	sigma	5
0.000655	2	5	9	1	1	tMatch	sigma	5
0.000768	2	5	10	1	1	tMatch	sigma	5
